portfolioKey,componentAdversaries,informationLevel,budgetValue,metric,metricLabel,seedCount,runsPerSeed,legislators,billsPerRun,traceRowsPerSeed,evaluatedTraceRows,eventCount,mean,sampleStdDev,standardError,ci95Low,ci95High,min,q25,median,q75,max,positiveSeedShare,nonzeroSeedShare,signAgreementShare,intervalMethod,claimBoundary
clone-decoy-poison-pill,A1+A2,medium,4,attackSuccessRate,Strict mixed-only success rate,30,5,101,60,300,9000,333,0.037000,0.011821,0.002158,0.032587,0.041414,0.013333,0.030833,0.036667,0.042500,0.063333,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,mixedFailureRate,Mixed adverse-failure rate,30,5,101,60,300,9000,5788,0.643111,0.066257,0.012097,0.618373,0.667849,0.516667,0.611667,0.646667,0.688333,0.756667,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,anySameBudgetSingleFailureRate,Any full-budget single failure rate,30,5,101,60,300,9000,5985,0.665000,0.080809,0.014754,0.634829,0.695171,0.483333,0.615000,0.658334,0.706667,0.806667,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,mixedDominatesStrongestSingleRate,Mixed-dominates rate,30,5,101,60,300,9000,844,0.093778,0.024444,0.004463,0.084651,0.102904,0.043333,0.080833,0.095000,0.106667,0.136667,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,meanMixedDegradation,Mean mixed degradation,30,5,101,60,300,9000,,0.030647,0.004833,0.000882,0.028842,0.032451,0.018612,0.027748,0.030824,0.033722,0.038855,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,medianMixedDegradation,Median mixed degradation,30,5,101,60,300,9000,,0.032005,0.001390,0.000254,0.031486,0.032524,0.024647,0.032259,0.032259,0.032259,0.032259,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,worstMixedDegradation,Worst mixed degradation,30,5,101,60,300,9000,,0.272125,0.077073,0.014072,0.243349,0.300902,0.129107,0.216709,0.264514,0.309755,0.435766,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,meanStrongestSingleDegradation,Mean strongest-single degradation,30,5,101,60,300,9000,,0.043030,0.006136,0.001120,0.040739,0.045321,0.027651,0.039647,0.042281,0.047052,0.056033,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,meanInteractionDegradation,Mean interaction degradation,30,5,101,60,300,9000,,-0.012384,0.002426,0.000443,-0.013289,-0.011478,-0.018313,-0.013330,-0.012154,-0.010713,-0.008385,0.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,medianInteractionDegradation,Median interaction degradation,30,5,101,60,300,9000,,-0.010310,0.007274,0.001328,-0.013026,-0.007594,-0.020874,-0.017916,-0.008636,-0.004958,0.000000,0.000000,0.866667,0.866667,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,worstInteractionDegradation,Worst interaction degradation,30,5,101,60,300,9000,,0.153204,0.098194,0.017928,0.116541,0.189866,0.036615,0.084836,0.130233,0.189606,0.422941,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,positiveInteractionRate,Positive interaction trace rate,30,5,101,60,300,9000,844,0.093778,0.024444,0.004463,0.084651,0.102904,0.043333,0.080833,0.095000,0.106667,0.136667,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,meanSuperadditiveLoss,Mean superadditive loss,30,5,101,60,300,9000,,0.012916,0.001983,0.000362,0.012175,0.013656,0.008803,0.011951,0.012885,0.014000,0.016934,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,medianSuperadditiveLoss,Median superadditive loss,30,5,101,60,300,9000,,0.018640,0.001607,0.000293,0.018040,0.019240,0.010176,0.018976,0.018976,0.018976,0.018976,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,worstSuperadditiveLoss,Worst superadditive loss,30,5,101,60,300,9000,,0.185647,0.051145,0.009338,0.166551,0.204742,0.087975,0.151061,0.191296,0.208562,0.307889,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,superadditiveRate,Superadditive trace rate,30,5,101,60,300,9000,5810,0.645556,0.065981,0.012046,0.620921,0.670191,0.506667,0.616667,0.648334,0.685833,0.763333,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,recoveryCorrectionAttemptRate,Recovery/correction attempt rate,30,5,101,60,300,9000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,recoveryCorrectionFailureRate,Recovery/correction failure rate,30,5,101,60,300,9000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,meanAdministrativeBurdenAdded,Mean administrative burden added,30,5,101,60,300,9000,,0.020560,0.002894,0.000528,0.019480,0.021641,0.014387,0.018742,0.020756,0.022252,0.025567,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,worstAdministrativeBurdenAdded,Worst administrative burden added,30,5,101,60,300,9000,,0.026000,0.000000,0.000000,0.026000,0.026000,0.026000,0.026000,0.026000,0.026000,0.026000,1.000000,1.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
clone-decoy-poison-pill,A1+A2,medium,4,meanQueueOverflowAdded,Mean queue overflow added,30,5,101,60,300,9000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,two_sided_student_t_on_base_seed_estimates,"A9 multi-seed synthetic replication only. The fixed base-seed panel is the uncertainty unit; bills and worlds within a seed are not treated as independent replications. Intervals summarize Monte Carlo sensitivity under the fixed A9 mechanisms, allocations, resource conversion, interaction coefficients, review capacity, and recovery assumptions. They are not population intervals, empirical attack-frequency estimates, general mechanism rankings, or evidence for real-world institutional adoption."
