adversaryId,attackFamily,caseKey,baselineScenario,attackedScenario,mechanismFamily,portfolioKey,componentAdversaries,componentCount,budgetUnit,budgetValue,informationLevel,runs,legislators,baseBillsPerRun,traceRows,attackSuccessCount,mixedFailureCount,anySameBudgetSingleFailureCount,mixedDominatesStrongestSingleCount,positiveInteractionCount,superadditiveCount,recoveryCorrectionAttemptCount,recoveryCorrectionFailureCount,attackSuccessRate,mixedFailureRate,anySameBudgetSingleFailureRate,mixedDominatesStrongestSingleRate,meanMixedDegradation,medianMixedDegradation,worstMixedDegradation,meanStrongestSingleDegradation,medianStrongestSingleDegradation,worstStrongestSingleDegradation,meanInteractionDegradation,medianInteractionDegradation,worstInteractionDegradation,positiveInteractionRate,meanSuperadditiveLoss,medianSuperadditiveLoss,worstSuperadditiveLoss,superadditiveRate,recoveryCorrectionAttemptRate,recoveryCorrectionFailureRate,meanAdministrativeBurdenAdded,worstAdministrativeBurdenAdded,meanStrongestSingleAdministrativeBurdenAdded,meanQueueOverflowAdded,worstQueueOverflowAdded,meanAttackerResourceSpend,recoveryStatus,traceArtifact,claimBoundary
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","selection-amendment-benign","selection-amendment-a9-mixed","selection_amendment_pairwise_majority","clone-decoy-poison-pill","A1+A2",2,"joint_attack_units",4,"medium",5,101,60,300,18,183,184,34,34,189,0,0,0.060000,0.610000,0.613333,0.113333,0.027233,0.032259,0.184834,0.039235,0.053084,0.238744,-0.012002,-0.006480,0.132149,0.113333,0.011915,0.018976,0.122427,0.630000,0.000000,0.000000,0.018633,0.026000,0.025480,0.000000,0.000000,4.000000,"not_modeled_for_selection_amendment","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","selection-amendment-benign","selection-amendment-a9-mixed","selection_amendment_pairwise_majority","clone-decoy-poison-pill","A1+A2",2,"joint_attack_units",8,"medium",5,101,60,300,14,118,127,31,31,73,0,0,0.046667,0.393333,0.423333,0.103333,0.051243,0.000000,0.289104,0.058303,0.000000,0.282380,-0.007060,0.000000,0.240014,0.103333,0.004235,0.000000,0.243554,0.243333,0.000000,0.000000,0.021320,0.052000,0.019760,0.000000,0.000000,8.000000,"not_modeled_for_selection_amendment","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","selection-amendment-benign","selection-amendment-a9-mixed","selection_amendment_pairwise_majority","clone-decoy-poison-pill","A1+A2",2,"joint_attack_units",12,"medium",5,101,60,300,4,98,106,7,7,18,0,0,0.013333,0.326667,0.353333,0.023333,0.041679,0.000000,0.470034,0.042291,0.000000,0.415858,-0.000612,0.000000,0.470034,0.023333,-0.018246,0.000000,0.316951,0.060000,0.000000,0.000000,0.021320,0.078000,0.013000,0.000000,0.000000,12.000000,"not_modeled_for_selection_amendment","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","selection-amendment-benign","selection-amendment-a9-mixed","selection_amendment_pairwise_majority","clone-decoy-poison-pill","A1+A2",2,"joint_attack_units",4,"high",5,101,60,300,17,174,180,24,24,180,0,0,0.056667,0.580000,0.600000,0.080000,0.027907,0.032259,0.349344,0.040239,0.052607,0.369866,-0.012332,-0.003105,0.078576,0.080000,0.013521,0.018864,0.349344,0.600000,0.000000,0.000000,0.017247,0.026000,0.024267,0.000000,0.000000,4.000000,"not_modeled_for_selection_amendment","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","selection-amendment-benign","selection-amendment-a9-mixed","selection_amendment_pairwise_majority","clone-decoy-poison-pill","A1+A2",2,"joint_attack_units",8,"high",5,101,60,300,13,115,116,28,28,68,0,0,0.043333,0.383333,0.386667,0.093333,0.050952,0.000000,0.327152,0.052970,0.000000,0.407629,-0.002018,0.000000,0.327152,0.093333,0.009571,0.000000,0.327152,0.226667,0.000000,0.000000,0.020973,0.052000,0.018027,0.000000,0.000000,8.000000,"not_modeled_for_selection_amendment","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","selection-amendment-benign","selection-amendment-a9-mixed","selection_amendment_pairwise_majority","clone-decoy-poison-pill","A1+A2",2,"joint_attack_units",12,"high",5,101,60,300,1,85,97,4,4,16,0,0,0.003333,0.283333,0.323333,0.013333,0.033140,0.000000,0.407629,0.036552,0.000000,0.407629,-0.003412,0.000000,0.231633,0.013333,-0.024971,0.000000,0.308722,0.053333,0.000000,0.000000,0.019500,0.078000,0.010400,0.000000,0.000000,12.000000,"not_modeled_for_selection_amendment","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","public-input-harm-benign","public-input-harm-a9-mixed","public_input_harm_review_majority","astroturf-harm-claims","A3+A4",2,"joint_attack_units",4,"medium",5,101,60,300,4,6,2,4,4,1,180,6,0.013333,0.020000,0.006667,0.013333,0.006691,0.000000,0.535448,0.001438,0.000000,0.094151,0.005252,0.000000,0.535448,0.013333,0.001361,0.000000,0.402067,0.003333,0.600000,0.020000,0.132850,0.475000,0.121850,0.000000,0.000000,4.000000,"same_case_review_only","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","public-input-harm-benign","public-input-harm-a9-mixed","public_input_harm_review_majority","astroturf-harm-claims","A3+A4",2,"joint_attack_units",8,"medium",5,101,60,300,1,3,86,1,1,1,265,3,0.003333,0.010000,0.286667,0.003333,0.001001,0.000000,0.128931,0.140282,0.000000,0.703964,-0.139281,0.000000,0.094151,0.003333,0.000287,0.000000,0.094151,0.003333,0.883333,0.010000,0.311933,0.595000,0.210680,0.000000,0.000000,8.000000,"same_case_review_only","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","public-input-harm-benign","public-input-harm-a9-mixed","public_input_harm_review_majority","astroturf-harm-claims","A3+A4",2,"joint_attack_units",12,"medium",5,101,60,300,5,19,96,6,6,6,300,19,0.016667,0.063333,0.320000,0.020000,0.008099,0.000000,0.384906,0.155894,0.000000,0.766402,-0.147795,0.000000,0.229262,0.020000,-0.141109,0.000000,0.229262,0.020000,1.000000,0.063333,0.488917,0.715000,0.305147,0.000000,0.000000,12.000000,"same_case_review_only","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
"A9","mixed_adversary_portfolio","mixed-adversary-portfolio","public-input-harm-benign","public-input-harm-a9-mixed","public_input_harm_review_majority","astroturf-harm-claims","A3+A4",2,"joint_attack_units",4,"high",5,101,60,300,8,11,16,8,8,3,183,10,0.026667,0.036667,0.053333,0.026667,0.014612,0.000000,0.565127,0.006526,0.000000,0.394344,0.008086,0.000000,0.565127,0.026667,0.005414,0.000000,0.559232,0.010000,0.610000,0.033333,0.134817,0.475000,0.190000,0.000000,0.000000,4.000000,"same_case_review_only","reports/adversarial-failure-traces-a9.jsonl","A9 executable pilot only. Each row pairs the same generated world, target bill, status quo, and vote-random seed across a no-attack baseline, a fixed-total-budget mixed portfolio, full-budget single-attack controls, and single-action controls at the mixed allocation. The three portfolios implement the combinations specified in the experiment plan: A1+A2, A3+A4, and A5+A6+A8. Interaction coefficients, resource conversion, review capacity, and recovery behavior are synthetic stress assumptions, not empirical coordination rates, not a general mechanism ranking, and not evidence for real-world institutional adoption."
