context_rank,review_rank,bill_id,public_law_number,policy_area,sponsor_bioguide_id,sponsor_party,sponsor_state,introduced_date,enacted_date,actions_count,committee_reported,floor_considered,bill_action_context_status,committee_name_context_status,floor_action_context_status,local_review_status,external_lda_search_disposition,external_lda_exact_activity_match_rows,external_lda_mention_packets,external_lda_mention_rows_represented,external_lda_committee_action_statuses,campaign_target_scope_status,campaign_target_scope_disposition,committee_action_influence_status,roll_call_influence_status,legislative_outcome_causality_status,next_review_action,evidence_layers,missing_links,source_urls,source_url,claim_boundary
1,1,117-hr-6386,117-295,Government Operations and Politics,K000391,D,IL,2022-01-12,2022-12-27,27,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,reviewed_public_fec_openfec_candidate_target_fields_only,reviewed_public_fec_openfec_scope_no_bill_specific_campaign_finance_link,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata; campaign_finance_target_scope_review,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6386; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+6386&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+6386&page_size=25,https://www.congress.gov/bill/117th-congress/hr-bill/6386,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
2,2,117-hr-1842,117-163,Finance and Financial Sector,M001137,D,NY,2021-03-11,2022-08-03,18,no,yes,public_bill_action_metadata_floor_considered_without_committee_reported_flag,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,not_in_campaign_finance_target_scope_review,not_in_campaign_finance_target_scope_review,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1842; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+1842&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+1842&page_size=25,https://www.congress.gov/bill/117th-congress/hr-bill/1842,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
3,3,117-hr-3359,117-164,Crime and Law Enforcement,S001193,D,CA,2021-05-19,2022-08-03,30,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_current_bill_activity_text_match,46,16,46,no_committee_action_influence_evidence,not_in_campaign_finance_target_scope_review,not_in_campaign_finance_target_scope_review,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata; external_lda_activity_text_mention_review,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/3359; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+3359&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+3359&page_size=25,https://www.congress.gov/bill/117th-congress/hr-bill/3359,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
4,4,117-hr-4693,117-214,International Affairs,M001157,R,TX,2021-07-26,2022-10-19,27,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_current_bill_activity_text_match,9,3,9,no_committee_action_influence_evidence,not_in_campaign_finance_target_scope_review,not_in_campaign_finance_target_scope_review,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata; external_lda_activity_text_mention_review,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/4693; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=H.R.+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=HR+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+4693&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+4693&page_size=25,https://www.congress.gov/bill/117th-congress/hr-bill/4693,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
5,5,117-hr-6899,117-185,International Affairs,H001072,R,AR,2022-03-02,2022-10-04,30,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,not_in_campaign_finance_target_scope_review,not_in_campaign_finance_target_scope_review,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6899; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+6899&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+6899&page_size=25,https://www.congress.gov/bill/117th-congress/hr-bill/6899,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
6,6,117-hr-7334,117-165,Commerce,L000569,R,MO,2022-03-31,2022-08-05,28,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,not_in_campaign_finance_target_scope_review,not_in_campaign_finance_target_scope_review,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7334; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=H.R.+7334&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=HR+7334&page_size=25,https://www.congress.gov/bill/117th-congress/hr-bill/7334,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
7,7,117-s-3470,117-211,Government Operations and Politics,L000575,R,OK,2022-01-11,2022-10-17,25,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,reviewed_public_fec_openfec_candidate_target_fields_only,reviewed_public_fec_openfec_scope_no_bill_specific_campaign_finance_link,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata; campaign_finance_target_scope_review,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/s-bill/3470; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3470&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3470&page_size=25,https://www.congress.gov/bill/117th-congress/s-bill/3470,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
8,8,117-s-3969,117-182,Government Operations and Politics,L000570,D,NM,2022-03-30,2022-09-30,21,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,reviewed_public_fec_openfec_candidate_target_fields_only,reviewed_public_fec_openfec_scope_no_bill_specific_campaign_finance_link,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata; campaign_finance_target_scope_review,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/s-bill/3969; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3969&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3969&page_size=25,https://www.congress.gov/bill/117th-congress/s-bill/3969,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
9,9,117-s-3294,117-111,Congress,K000367,D,MN,2021-12-01,2022-04-13,23,no,yes,public_bill_action_metadata_floor_considered_without_committee_reported_flag,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,reviewed_public_fec_openfec_candidate_target_fields_only,reviewed_public_fec_openfec_scope_no_bill_specific_campaign_finance_link,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata; campaign_finance_target_scope_review,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/s-bill/3294; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S.+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+3294&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+3294&page_size=25,https://www.congress.gov/bill/117th-congress/s-bill/3294,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
10,10,117-s-497,117-121,Public Lands and Natural Resources,S001198,R,AK,2021-03-01,2022-05-12,27,yes,yes,public_bill_action_metadata_committee_reported_and_floor_considered,no_committee_name_or_jurisdiction_source_in_current_cache,public_bill_action_metadata_floor_considered_flag_present,reviewed_local_context_no_current_bill_specific_finance_or_lobbying_match,official_lda_external_search_no_exact_current_bill_activity_text_match,0,0,0,not_in_external_lda_mention_review,not_in_campaign_finance_target_scope_review,not_in_campaign_finance_target_scope_review,no_finance_or_lobbying_committee_action_influence_evidence,no_finance_or_lobbying_roll_call_influence_evidence,enacted_public_law_metadata_only_no_finance_or_lobbying_outcome_causality,"Acquire committee-of-jurisdiction names, source-reviewed committee action records, roll-call context, and independent finance/lobbying target documents before making any committee-action, roll-call, or legislative-outcome influence claim.",bill_finance_lobbying_review_queue; manual_bill_finance_lobbying_local_context_review; bill_finance_lobbying_external_search_review; law_revision_bill_action_metadata,committee_of_jurisdiction; committee_action_influence; roll_call_influence; legislative_outcome_causality; bill_specific_campaign_finance_influence; bill_specific_lobbying_influence; external_campaign_target_source_document; lobbying_contact_or_target_source; reviewed_outside_spending_target_beyond_candidate_id; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.congress.gov/bill/117th-congress/s-bill/497; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2021&filing_specific_lobbying_issues=S.+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S+497&page_size=25; https://lda.gov/api/v1/filings/?filing_year=2022&filing_specific_lobbying_issues=S.+497&page_size=25,https://www.congress.gov/bill/117th-congress/s-bill/497,"Bill finance/lobbying committee/action context only; rows join the existing finance/lobbying review queue to cached public bill-action metadata and current LDA/FEC review dispositions. Committee-reported and floor-considered flags are bill-action metadata, not evidence that campaign finance or lobbying targeted, caused, influenced, supported, opposed, or benefited a committee action, roll call, legislative outcome, public benefit, welfare, causal capture, or model result. Current cached bill-action metadata does not provide committee-of-jurisdiction names for these rows."
