source_review_rank,context_rank,review_rank,bill_id,public_law_number,policy_area,govinfo_billstatus_status,govinfo_url,introduced_date,latest_action_date,latest_action_text,actions_count,committee_source_status,committee_count,committee_names,committee_activity_count,committee_activity_summary,committee_report_count,committee_report_citations,committee_action_record_status,committee_action_count,committee_action_dates,committee_action_snippets,floor_action_record_status,floor_action_count,floor_action_dates,floor_action_snippets,roll_call_reference_status,roll_call_reference_count,roll_call_references,legislative_outcome_source_status,public_law_numbers,sponsor_bioguide_id,sponsor_party,sponsor_state,external_lda_mention_packets,campaign_target_scope_status,evidence_layers,missing_links,source_url,claim_boundary
1,1,1,117-hr-6386,117-295,Government Operations and Politics,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6386.xml,2022-01-12,2022-12-27,Signed by President.,27,official_govinfo_committee_names_present,2,Senate Homeland Security and Governmental Affairs Committee; House Oversight and Accountability Committee,5,Senate Homeland Security and Governmental Affairs Committee: Reported by 2022-08-04; Senate Homeland Security and Governmental Affairs Committee: Markup by 2022-08-03; Senate Homeland Security and Governmental Affairs Committee: Referred to 2022-05-12; House Oversight and Accountability Committee: Markup by 2022-02-02; House Oversight and Accountability Committee: Referred to 2022-01-12,0,,official_govinfo_committee_action_records_present,7,2022-08-04; 2022-08-03; 2022-05-12; 2022-02-02; 2022-01-12,2022-08-04 Committee Committee on Homeland Security and Governmental Affairs. Reported by Senator Peters without amendment. Without written report.; 2022-08-03 Committee Committee on Homeland Security and Governmental Affairs. Ordered to be reported without amendment favorably.; 2022-05-12 IntroReferral Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.; 2022-02-02 Committee Ordered to be Reported by Unanimous Consent.; 2022-02-02 Committee Committee Consideration and Mark-up Session Held.,official_govinfo_floor_action_records_present,6,2022-12-19; 2022-05-11; 2022-05-10,"2022-12-19 Floor Passed Senate without amendment by Unanimous Consent. (consideration: CR S7282-7283); 2022-12-19 Floor Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.; 2022-05-11 Floor On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 404 - 0, 1 Present (Roll no. 167). (text: 05/10/2022 CR H4786); 2022-05-11 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 404 - 0, 1 Present (Roll no. 167).; 2022-05-11 Floor Considered as unfinished business. (consideration: CR H4844-4845); 2022-05-10 Floor Considered under suspension of the rules. (consideration: CR H4786)",official_billstatus_roll_call_references_present,2,Roll no. 167,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-295,K000391,D,IL,0,reviewed_public_fec_openfec_candidate_target_fields_only,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6386.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
2,2,2,117-hr-1842,117-163,Finance and Financial Sector,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1842.xml,2021-03-11,2022-08-03,Signed by President.,18,official_govinfo_committee_names_present,1,House Financial Services Committee,1,House Financial Services Committee: Referred to 2021-03-11,0,,official_govinfo_committee_action_records_present,1,2021-03-11,2021-03-11 IntroReferral Referred to the House Committee on Financial Services.,official_govinfo_floor_action_records_present,5,2022-07-27; 2022-07-26,"2022-07-27 Floor Received in the Senate, read twice, considered, read the third time, and passed without amendment by Voice Vote. (consideration: CR S3736); 2022-07-27 Floor Passed/agreed to in Senate: Received in the Senate, read twice, considered, read the third time, and passed without amendment by Voice Vote.(consideration: CR S3736); 2022-07-26 Floor On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H7147-7148); 2022-07-26 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by voice vote.(text: CR H7147-7148); 2022-07-26 Floor Considered under suspension of the rules. (consideration: CR H7147-7149)",official_billstatus_without_roll_call_references,0,,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-163,M001137,D,NY,0,not_in_campaign_finance_target_scope_review,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr1842.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
3,3,3,117-hr-3359,117-164,Crime and Law Enforcement,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr3359.xml,2021-05-19,2022-08-03,Signed by President.,30,official_govinfo_committee_names_present,3,Senate Judiciary Committee; House Judiciary Committee; House Crime and Federal Government Surveillance Subcommittee Subcommittee,7,Senate Judiciary Committee: Discharged from 2022-07-25; Senate Judiciary Committee: Referred to 2022-03-30; House Judiciary Committee: Reported by 2022-03-28; House Judiciary Committee: Markup by 2021-12-08; House Judiciary Committee: Referred to 2021-05-19; House Judiciary Committee / Crime and Federal Government Surveillance Subcommittee: Discharged from 2021-12-08; House Judiciary Committee / Crime and Federal Government Surveillance Subcommittee: Referred to 2021-11-09,1,H. Rept. 117-280,official_govinfo_committee_action_records_present,10,2022-07-25; 2022-03-30; 2022-03-28; 2021-12-08; 2021-11-09; 2021-05-19,2022-07-25 Discharge Senate Committee on the Judiciary discharged by Unanimous Consent. (consideration: CR S3627); 2022-07-25 Committee Senate Committee on the Judiciary discharged by Unanimous Consent.; 2022-03-30 IntroReferral Received in the Senate and Read twice and referred to the Committee on the Judiciary.; 2022-03-28 Committee Reported (Amended) by the Committee on Judiciary. H. Rept. 117-280.; 2021-12-08 Committee Ordered to be Reported (Amended) by Voice Vote.,official_govinfo_floor_action_records_present,6,2022-07-25; 2022-03-29; 2022-03-28,"2022-07-25 Floor Passed Senate without amendment by Unanimous Consent.; 2022-07-25 Floor Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.; 2022-03-29 Floor On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 406 - 20 (Roll no. 88). (text: 3/28/2022 CR H3875-3876); 2022-03-29 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 406 - 20 (Roll no. 88).(text: 3/28/2022 CR H3875-3876); 2022-03-29 Floor Considered as unfinished business. (consideration: CR H3952-3953); 2022-03-28 Floor Considered under suspension of the rules. (consideration: CR H3875-3880)",official_billstatus_roll_call_references_present,2,Roll no. 88,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-164,S001193,D,CA,16,not_in_campaign_finance_target_scope_review,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_committee_report_citation_metadata; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr3359.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
4,4,4,117-hr-4693,117-214,International Affairs,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr4693.xml,2021-07-26,2022-10-19,Signed by President.,27,official_govinfo_committee_names_present,2,Senate Foreign Relations Committee; House Foreign Affairs Committee,5,Senate Foreign Relations Committee: Reported by 2022-07-21; Senate Foreign Relations Committee: Markup by 2022-07-19; Senate Foreign Relations Committee: Referred to 2022-04-28; House Foreign Affairs Committee: Markup by 2021-07-29; House Foreign Affairs Committee: Referred to 2021-07-26,0,,official_govinfo_committee_action_records_present,7,2022-07-21; 2022-07-19; 2022-04-28; 2021-07-29; 2021-07-26,2022-07-21 Committee Committee on Foreign Relations. Reported by Senator Menendez without amendment. Without written report.; 2022-07-19 Committee Committee on Foreign Relations. Ordered to be reported without amendment favorably.; 2022-04-28 IntroReferral Received in the Senate and Read twice and referred to the Committee on Foreign Relations.; 2021-07-29 Committee Ordered to be Reported by Voice Vote.; 2021-07-29 Committee Committee Consideration and Mark-up Session Held.,official_govinfo_floor_action_records_present,6,2022-09-20; 2022-04-27,2022-09-20 Floor Passed Senate without amendment by Voice Vote. (consideration: CR S4876; text: 4/27/2022 CR H4547-4548); 2022-09-20 Floor Passed/agreed to in Senate: Passed Senate without amendment by Voice Vote.(consideration: CR S4876; text: 4/27/2022 CR H4547-4548); 2022-04-27 Floor On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 384 - 44 (Roll no. 137).; 2022-04-27 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 384 - 44 (Roll no. 137).; 2022-04-27 Floor Considered as unfinished business. (consideration: CR H4560); 2022-04-27 Floor Considered under suspension of the rules. (consideration: CR H4547-4550),official_billstatus_roll_call_references_present,2,Roll no. 137,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-214,M001157,R,TX,3,not_in_campaign_finance_target_scope_review,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr4693.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
5,5,5,117-hr-6899,117-185,International Affairs,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6899.xml,2022-03-02,2022-10-04,Signed by President.,30,official_govinfo_committee_names_present,2,Senate Foreign Relations Committee; House Financial Services Committee,6,Senate Foreign Relations Committee: Reported by 2022-07-21; Senate Foreign Relations Committee: Markup by 2022-07-19; Senate Foreign Relations Committee: Referred to 2022-05-12; House Financial Services Committee: Reported by 2022-05-10; House Financial Services Committee: Markup by 2022-03-17; House Financial Services Committee: Referred to 2022-03-02,1,H. Rept. 117-316,official_govinfo_committee_action_records_present,9,2022-07-21; 2022-07-19; 2022-05-12; 2022-05-10; 2022-03-17; 2022-03-02,2022-07-21 Committee Committee on Foreign Relations. Reported by Senator Menendez without amendment. Without written report.; 2022-07-19 Committee Committee on Foreign Relations. Ordered to be reported without amendment favorably.; 2022-05-12 IntroReferral Received in the Senate and Read twice and referred to the Committee on Foreign Relations.; 2022-05-10 Committee Reported (Amended) by the Committee on Financial Services. H. Rept. 117-316.,official_govinfo_floor_action_records_present,6,2022-09-21; 2022-05-11; 2022-05-10,"2022-09-21 Floor Passed Senate without amendment by Unanimous Consent. (consideration: CR S4940); 2022-09-21 Floor Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.; 2022-05-11 Floor On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 417 - 2 (Roll no. 162). (text: 05/10/2022 CR H4754); 2022-05-11 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill, as amended Agreed to by the Yeas and Nays: (2/3 required): 417 - 2 (Roll no. 162).; 2022-05-11 Floor Considered as unfinished business. (consideration: CR H4840-4841); 2022-05-10 Floor Considered under suspension of the rules. (consideration: CR H4754-4755)",official_billstatus_roll_call_references_present,2,Roll no. 162,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-185,H001072,R,AR,0,not_in_campaign_finance_target_scope_review,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_committee_report_citation_metadata; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr6899.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
6,6,6,117-hr-7334,117-165,Commerce,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7334.xml,2022-03-31,2022-08-05,Signed by President.,28,official_govinfo_committee_names_present,2,Senate Small Business and Entrepreneurship Committee; House Small Business Committee,5,Senate Small Business and Entrepreneurship Committee: Discharged from 2022-07-28; Senate Small Business and Entrepreneurship Committee: Referred to 2022-06-09; House Small Business Committee: Reported by 2022-05-17; House Small Business Committee: Markup by 2022-05-11; House Small Business Committee: Referred to 2022-03-31,1,H. Rept. 117-327,official_govinfo_committee_action_records_present,8,2022-07-28; 2022-06-09; 2022-05-17; 2022-05-11; 2022-03-31,2022-07-28 Discharge Senate Committee on Small Business and Entrepreneurship discharged by Unanimous Consent. (consideration: CR S3790); 2022-07-28 Committee Senate Committee on Small Business and Entrepreneurship discharged by Unanimous Consent.; 2022-06-09 IntroReferral Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.; 2022-05-17 Committee Reported by the Committee on Small Business. H. Rept. 117-327.; 2022-05-11 Committee Ordered to be Reported by Voice Vote.,official_govinfo_floor_action_records_present,6,2022-07-28; 2022-06-08; 2022-06-07,2022-07-28 Floor Passed Senate without amendment by Voice Vote.; 2022-07-28 Floor Passed/agreed to in Senate: Passed Senate without amendment by Voice Vote.; 2022-06-08 Floor On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 416 - 3 (Roll no. 247). (text: 06/07/2022 CR H5250); 2022-06-08 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 416 - 3 (Roll no. 247).; 2022-06-08 Floor Considered as unfinished business. (consideration: CR H5397-5398); 2022-06-07 Floor Considered under suspension of the rules. (consideration: CR H5250-5252),official_billstatus_roll_call_references_present,2,Roll no. 247,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-165,L000569,R,MO,0,not_in_campaign_finance_target_scope_review,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_committee_report_citation_metadata; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/hr/BILLSTATUS-117hr7334.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
7,7,7,117-s-3470,117-211,Government Operations and Politics,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s3470.xml,2022-01-11,2022-10-17,Presented to President.,25,official_govinfo_committee_names_present,1,Senate Homeland Security and Governmental Affairs Committee,3,Senate Homeland Security and Governmental Affairs Committee: Reported by 2022-05-24; Senate Homeland Security and Governmental Affairs Committee: Markup by 2022-02-02; Senate Homeland Security and Governmental Affairs Committee: Referred to 2022-01-11,1,S. Rept. 117-116,official_govinfo_committee_action_records_present,4,2022-05-24; 2022-02-02; 2022-01-11,2022-05-24 Committee Committee on Homeland Security and Governmental Affairs. Reported by Senator Peters without amendment. With written report No. 117-116.; 2022-02-02 Committee Committee on Homeland Security and Governmental Affairs. Ordered to be reported without amendment favorably.; 2022-01-11 IntroReferral Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,official_govinfo_floor_action_records_present,6,2022-09-29; 2022-09-28; 2022-07-13,2022-09-29 Floor On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 423 - 0 (Roll no. 463). (text: CR H8143); 2022-09-29 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 423 - 0 (Roll no. 463).; 2022-09-29 Floor Considered as unfinished business. (consideration: CR H8271-8272); 2022-09-28 Floor Considered under suspension of the rules. (consideration: CR H8143-8144); 2022-07-13 Floor Passed Senate without amendment by Unanimous Consent. (consideration: CR S3278; text: CR S3278); 2022-07-13 Floor Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.,official_billstatus_roll_call_references_present,2,Roll no. 463,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-211,L000575,R,OK,0,reviewed_public_fec_openfec_candidate_target_fields_only,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_committee_report_citation_metadata; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s3470.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
8,8,8,117-s-3969,117-182,Government Operations and Politics,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s3969.xml,2022-03-30,2022-09-30,Presented to President.,21,official_govinfo_billstatus_reviewed_without_direct_committee_names,0,,0,,0,,official_govinfo_billstatus_reviewed_without_direct_committee_action_records,0,,,official_govinfo_floor_action_records_present,5,2022-09-29; 2022-09-28; 2022-03-30,"2022-09-29 Floor Passed/agreed to in House: On passage Passed by voice vote.; 2022-09-29 Floor Considered under the provisions of rule H. Res. 1396. (consideration: CR H8230-8235); 2022-09-28 Floor Rule H. Res. 1396 passed House.; 2022-03-30 Floor Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Unanimous Consent. (consideration: CR S1860; text: CR S1860); 2022-03-30 Floor Passed/agreed to in Senate: Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Unanimous Consent.(consideration: CR S1860; text: CR S1860)",official_billstatus_without_roll_call_references,0,,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-182,L000570,D,NM,0,reviewed_public_fec_openfec_candidate_target_fields_only,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s3969.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
9,9,9,117-s-3294,117-111,Congress,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s3294.xml,2021-12-01,2022-04-13,Signed by President.,23,official_govinfo_committee_names_present,1,Senate Rules and Administration Committee,2,Senate Rules and Administration Committee: Discharged from 2021-12-10; Senate Rules and Administration Committee: Referred to 2021-12-01,0,,official_govinfo_committee_action_records_present,3,2021-12-09; 2021-12-01,2021-12-09 Discharge Senate Committee on Rules and Administration discharged by Unanimous Consent. (consideration: CR S9085); 2021-12-09 Committee Senate Committee on Rules and Administration discharged by Unanimous Consent.(consideration: CR S9085); 2021-12-01 IntroReferral Read twice and referred to the Committee on Rules and Administration.,official_govinfo_floor_action_records_present,6,2022-03-28; 2021-12-09,2022-03-28 Floor On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 349 - 63 (Roll no. 84). (text: CR H3887-3888); 2022-03-28 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 349 - 63 (Roll no. 84).(text: CR H3887-3888); 2022-03-28 Floor Considered as unfinished business. (consideration: CR H3893); 2022-03-28 Floor Considered under suspension of the rules. (consideration: CR H3887-3891); 2021-12-09 Floor Passed Senate without amendment by Unanimous Consent. (text: CR S9085-9086); 2021-12-09 Floor Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.(text: CR S9085-9086),official_billstatus_roll_call_references_present,2,Roll no. 84,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-111,K000367,D,MN,0,reviewed_public_fec_openfec_candidate_target_fields_only,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s3294.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
10,10,10,117-s-497,117-121,Public Lands and Natural Resources,official_govinfo_billstatus_fetched,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s497.xml,2021-03-01,2022-05-12,Signed by President.,27,official_govinfo_committee_names_present,1,"Senate Commerce, Science, and Transportation Committee",3,"Senate Commerce, Science, and Transportation Committee: Reported by 2021-12-17; Senate Commerce, Science, and Transportation Committee: Markup by 2021-05-12; Senate Commerce, Science, and Transportation Committee: Referred to 2021-03-01",1,S. Rept. 117-68,official_govinfo_committee_action_records_present,6,2022-02-08; 2021-12-17; 2021-05-12; 2021-03-01,"2022-02-08 Floor By Senator Cantwell from Committee on Commerce, Science, and Transportation filed written report. Report No. 117-68.; 2022-02-08 Committee By Senator Cantwell from Committee on Commerce, Science, and Transportation filed written report. Report No. 117-68.; 2021-12-17 Committee Committee on Commerce, Science, and Transportation. Reported by Senator Cantwell without amendment. Without written report.; 2021-05-12 Committee Committee on Commerce, Science, and Transportation. Ordered to be reported without amendment favorably.; 2021-03-01 IntroReferral Read twice and referred to the Committee on Commerce, Science, and Transportation.",official_govinfo_floor_action_records_present,6,2022-04-26; 2022-03-10,2022-04-26 Floor On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 404 - 11 (Roll no. 126). (text: CR H4486-4487); 2022-04-26 Floor Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 404 - 11 (Roll no. 126).; 2022-04-26 Floor Considered as unfinished business. (consideration: CR H4489); 2022-04-26 Floor Considered under suspension of the rules. (consideration: CR H4486-4488); 2022-03-10 Floor Passed Senate without amendment by Unanimous Consent. (consideration: CR S1130-1131; text: CR S1130-1131); 2022-03-10 Floor Passed/agreed to in Senate: Passed Senate without amendment by Unanimous Consent.,official_billstatus_roll_call_references_present,2,Roll no. 126,official_govinfo_public_law_outcome_metadata_present_no_finance_lobbying_causality,Public Law 117-121,S001198,R,AK,0,not_in_campaign_finance_target_scope_review,bill_finance_lobbying_committee_action_context; official_govinfo_billstatus_committee_source; official_govinfo_billstatus_action_source; official_committee_report_citation_metadata; official_billstatus_roll_call_reference; official_govinfo_public_law_outcome_metadata,lobbying_contact_or_target_source; external_campaign_target_source_document; reviewed_outside_spending_target_beyond_candidate_id; official_roll_call_vote_source_join; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://www.govinfo.gov/bulkdata/BILLSTATUS/117/s/BILLSTATUS-117s497.xml,"Bill finance/lobbying committee/action source review only; rows cache official govinfo BILLSTATUS committee, action, roll-call-reference, and public-law outcome metadata for queued bills. The artifact provides committee/action source context, not lobbying contact confirmation, campaign-finance target evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
