review_rank,triage_rank,review_queue_rank,bill_id,public_law_number,case_id,case_name,decision_date,enacted_date,days_after_enactment,matched_usc_sections,direct_review_determination,direct_case_to_public_law_identifier,direct_case_to_bill_identifier,reviewed_case_disposition_to_public_law,usc_section_relationship,case_source_url,public_law_source_url,case_source_summary,public_law_source_summary,source_review_notes,evidence_layers,missing_links,claim_boundary
1,1,30,117-s-3373,117-168,2022-003,ARELLANO v. MCDONOUGH,1/23/2023,2022-08-10,166,38 U.S.C. 5110,reviewed_not_direct_public_law_review,0,0,0,shared_usc_section_reference_only,https://www.supremecourt.gov/opinions/22pdf/21-432_f2bh.pdf,https://www.govinfo.gov/content/pkg/PLAW-117publ168/html/PLAW-117publ168.htm,Official Supreme Court opinion concerns equitable tolling of 38 U.S.C. 5110(a)(1) and 5110(b)(1) for disability-compensation effective dates and holds that section 5110(b)(1) is not subject to equitable tolling.,"Official public-law text identifies Public Law 117-168 and S.3373 as the Honoring our PACT Act. The reviewed GovInfo details list 38 U.S.C. 1305 and other title 38 provisions, and the public-law text references section 5110 in a separate DIC reevaluation provision, but the reviewed source does not show a direct amendment of 38 U.S.C. 5110 by that public law.","No reviewed source link shows Arellano directly challenged, reviewed, interpreted, or invalidated Public Law 117-168 or S.3373. The current linkage is shared 38 U.S.C. 5110 metadata only.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
2,2,1,117-hr-1437,117-229,1952-008,"UNITED STATES v. BEACON BRASS CO., INC. ET AL.",11/10/1952,2022-12-16,-25603,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
3,3,2,117-hr-1437,117-229,1954-048,UNITED STATES v. BRAMBLETT,4/4/1955,2022-12-16,-24728,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
4,4,3,117-hr-1437,117-229,1961-012,KILLIAN v. UNITED STATES,12/11/1961,2022-12-16,-22285,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
5,5,4,117-hr-1437,117-229,1969-007,BRYSON v. UNITED STATES,12/8/1969,2022-12-16,-19366,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
6,6,5,117-hr-1437,117-229,1983-084,UNITED STATES v. RODGERS,4/30/1984,2022-12-16,-14109,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
7,7,6,117-hr-1437,117-229,1983-145,UNITED STATES v. YERMIAN,6/27/1984,2022-12-16,-14051,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
8,8,7,117-hr-1437,117-229,1994-055,JOHN BRUCE HUBBARD v. UNITED STATES,5/15/1995,2022-12-16,-10077,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
9,9,8,117-hr-1437,117-229,1997-024,JAMES BROGAN v. UNITED STATES,1/26/1998,2022-12-16,-9090,18 U.S.C. 1001,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
10,10,9,117-hr-1437,117-229,2003-032,"BUCK DOE v. ELAINE L. CHAO, SECRETARY OF LABOR",2/24/2004,2022-12-16,-6870,5 U.S.C. 552,temporally_excluded_before_public_law_enactment,0,0,0,temporal_exclusion,,,,,"Decision date predates the listed public law enactment date, so this row is excluded as direct review of that public law without manual opinion review.",court_public_law_temporal_triage; court_public_law_direct_review_disposition,direct_case_to_public_law_identifier; direct_case_to_bill_identifier; codified_usc_lineage; emergency_order_dataset; lower_court_history; causal_invalidation_effect; implementation_outcome; model_validation,"Source-reviewed direct-review disposition only; rows classify whether a queued SCDB/public-law overlap has direct source evidence that the case reviewed the listed public law or bill. The artifact does not create lower-court, emergency-order, causal-invalidation-effect, welfare, implementation-outcome, or model-validation evidence."
