readiness_rank,action_rank,bill_id,public_law_number,policy_area,sponsor_districts,proxy_row_count,proxy_issue_count,proxy_issues,mean_support,mean_affected_group_proxy,source_reviewed_bill_item_alignment_rows,issue_specific_support_rows,historical_issue_support_years,historical_issue_support_items,historical_weighted_support_min,historical_weighted_support_max,exact_bill_support_rows,mrp_or_small_area_rows,affected_group_support_rows,bill_topic_public_opinion_status,mrp_or_small_area_status,affected_group_status,next_review_sources,review_packet,evidence_layers,missing_links,source_url,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.521434,0.007299,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-1437: map Economics and Public Finance to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.505944,0.043331,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-5376: map Economics and Public Finance to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/5376,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.495606,0.006957,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-6833: map Economics and Public Finance to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6833,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.570639,0.040400,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-7776: map Armed Forces and National Security to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7776,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.576449,0.032833,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-7925: map Armed Forces and National Security to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7925,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.547705,0.058040,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-6604: map Armed Forces and National Security to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6604,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.506063,0.056946,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-7132: map Science, Technology, Communications to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7132,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
8,9,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.457630,0.028833,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-4346: map Science, Technology, Communications to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/4346,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
9,10,117-hr-2472,117-269,Government Operations and Politics,OH-06,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.418915,0.077891,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-2472: map Government Operations and Politics to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/2472,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
10,15,117-hr-7352,117-166,Commerce,NY-07,3,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.760231,0.057217,0,0,,,,,0,0,0,proxy_only_missing_issue_specific_bill_support,missing_mrp_or_small_area_estimate,missing_issue_specific_affected_group_support_or_harm,exact or closer contemporaneous bill-topic survey item; district MRP or small-area estimate where needed; ACS or comparable affected-population denominator; affected-group support or harm source,"117-hr-7352: map Commerce to an issue-specific survey item, estimate or import district support, and keep affected-population exposure separate from general support.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; topic_throughput_policy_area; bill_topic_public_opinion_readiness_queue,bill_topic_public_opinion; exact_bill_wording_support; contemporaneous_bill_support; MRP_or_small_area_estimate; issue_specific_affected_group_support; affected_group_harm; constituent_contacts; member_vote; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/7352,"Bill-level readiness queue with bounded CES proxy context and, where present, privacy-thresholded historical related-issue district estimates. Historical items are not exact bill wording or contemporaneous bill support. These rows are not bill-topic public support and do not provide MRP or small-area estimation, issue-specific affected-group support or harm, public benefit, welfare, causal representation, or model validation."
