packet_rank,bill_id,public_law_number,policy_area,sponsor_districts,denominator_district_count,matched_denominator_districts,missing_denominator_districts,total_pop100,total_hu100,total_land_area_sq_km,total_water_area_sq_km,mean_population_density_per_sq_km,mean_housing_unit_density_per_sq_km,denominator_status,denominator_source,evidence_layers,missing_links,source_url,claim_boundary
1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,1,NJ-11,,761843,295332,1311.167,67.048,581.042,225.244,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2734%27+AND+BASENAME%3D%2711%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
2,117-hr-5376,117-169,Economics and Public Finance,KY-03,1,KY-03,,756852,346650,828.196,40.357,913.857,418.561,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2721%27+AND+BASENAME%3D%273%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
3,117-hr-6833,117-180,Economics and Public Finance,MN-02,1,MN-02,,731958,284341,6314.019,241.549,115.926,45.033,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2727%27+AND+BASENAME%3D%272%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,1,OR-04,,823608,361385,44736.718,2228.028,18.410,8.078,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2741%27+AND+BASENAME%3D%274%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,1,CA-36,,764753,342991,15319.580,194.550,49.920,22.389,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2706%27+AND+BASENAME%3D%2736%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,1,FL-16,,884047,442953,3353.676,1587.805,263.605,132.080,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2712%27+AND+BASENAME%3D%2716%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,1,NH-02,,679792,311217,16805.840,400.635,40.450,18.518,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2733%27+AND+BASENAME%3D%272%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,1,OH-13,,698441,330482,2315.240,70.527,301.671,142.742,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2739%27+AND+BASENAME%3D%2713%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
9,117-hr-2472,117-269,Government Operations and Politics,OH-06,1,OH-06,,687118,317109,18686.379,202.585,36.771,16.970,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2739%27+AND+BASENAME%3D%276%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
10,117-hr-7352,117-166,Commerce,NY-07,1,NY-07,,762833,293063,41.803,2.680,18248.419,7010.625,official_tigerweb_population_housing_denominator,"U.S. Census Bureau TIGERweb 116th Congressional Districts, 2020 population and housing attributes",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; ACS_policy_specific_affected_population_denominator; ACS_veteran_population; ACS_income_poverty_employment; ACS_internet_subscription; ACS_citizenship_nativity_language; ACS_disability; ACS_industry_occupation; issue_specific_affected_group_support; affected_group_harm; public_benefit; model_validation,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/Legislative/MapServer/12/query?where=STATE%3D%2736%27+AND+BASENAME%3D%277%27&outFields=%2A&returnGeometry=false&f=json,"Census TIGERweb population and housing denominators are joined to source packets by sponsor district only; they are not bill-topic public support, not MRP or small-area estimates, not ACS policy-specific affected-population detail, not issue-specific affected-group support or harm, not public-benefit evidence, and not model validation."
