packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,candidate_policy_preference_item_ids,candidate_policy_preference_item_count,candidate_items_with_response_distribution_count,candidate_item_year_distribution_rows,source_item_response_observation_count,source_item_blank_observation_count,observed_response_years,observed_response_year_count,response_distribution_status,exact_bill_topic_support_status,support_direction_status,district_estimation_status,affected_group_item_status,required_next_action,source_urls,evidence_layers,missing_links,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,"tax, spending, inflation, or fiscal-policy bill support",incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,8,128,2153377,2306271,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2020,13,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,"tax, spending, inflation, or fiscal-policy bill support",incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,8,128,2153377,2306271,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2020,13,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,"tax, spending, inflation, or fiscal-policy bill support",incometax_vs_salestax; spending_cuts_least; spending_cuts_most; spending_education; spending_healthcare; spending_infrastructure; spending_vs_tax; spending_welfare,8,8,128,2153377,2306271,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2020,13,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,"defense, veterans, or national-security bill support",military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,8,128,2823644,1636004,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2020,12,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,"defense, veterans, or national-security bill support",military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,8,128,2823644,1636004,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2020,12,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,"defense, veterans, or national-security bill support",military_democracy; military_genocide; military_helpun; military_oil; military_protectallies; military_terroristcamp; spending_cuts_least; spending_cuts_most,8,8,128,2823644,1636004,2006; 2007; 2008; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2020,12,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,"technology, communications, broadband, research, or science-policy bill support",,0,0,0,0,0,,0,no_candidate_item_response_distribution_available,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
8,8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,"technology, communications, broadband, research, or science-policy bill support",,0,0,0,0,0,,0,no_candidate_item_response_distribution_available,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
9,9,117-hr-2472,117-269,Government Operations and Politics,OH-06,"government-operations, democracy, ethics, or institutional-reform bill support",,0,0,0,0,0,,0,no_candidate_item_response_distribution_available,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
10,10,117-hr-7352,117-166,Commerce,NY-07,"commerce, consumer, or business-regulation bill support",trade_canmex_except; trade_canmex_include; trade_china,3,3,48,465070,1207298,2018; 2019; 2020; 2021,4,official_ces_policy_preference_raw_response_distributions_available_no_support_direction,no_exact_bill_topic_support_estimate,raw_response_codes_not_directionally_recoded,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review codebook response direction and candidate wording against the specific public-law bill text, then add respondent geography/MRP or other small-area estimation before using these raw response-code distributions as public-opinion evidence.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OSXDQO; https://dataverse.harvard.edu/api/access/datafile/6898233; https://dataverse.harvard.edu/api/access/datafile/6898232; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,district_public_opinion_ces_policy_item_candidate_review; official_policy_preferences_raw_response_code_distribution; district_public_opinion_ces_policy_item_response_distribution_review,exact_bill_topic_item_wording_review; response_codebook_direction_review; bill_topic_public_opinion; MRP_or_small_area_estimate; respondent_geography_merge; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,"CES policy-preference response-distribution review only; rows join queued public-law source packets to unweighted raw response-code distributions for official Cumulative CES Policy Preferences candidate variables. These raw response-code summaries are not recoded support/opposition measures, not source-reviewed exact bill-topic support items, not district support estimates, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
