packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,primary_survey_source_family,primary_survey_source_url,secondary_survey_source_families,secondary_survey_source_urls,source_access_notes,candidate_item_constructs,candidate_item_search_terms,district_estimation_requirement,poststratification_frame,affected_population_requirement,affected_support_or_harm_requirement,survey_crosswalk_status,next_action,evidence_layers,missing_links,source_urls,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,NJ-11,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,taxes; spending; inflation; redistribution; budget priorities; household affordability,117-hr-1437 117-229 economics and public finance tax spending inflation fiscal-policy bill support ces/cces economic-policy redistribution issue items house democratic preference representative approval presidential taxes budget priorities household affordability anes pew research center gallup analytics,"Use economic-policy item responses with income, employment, education, age, family status, and party poststratification covariates.",ACS 2017-2021 district frame: poverty; employment; unemployment; median_household_income; households,"ACS income, poverty, employment, age, household, and benefit-relevant denominators by district","taxpayer, beneficiary, worker, or household outcome/support source selected after bill-text review",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,KY-03,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,taxes; spending; inflation; redistribution; budget priorities; household affordability,117-hr-5376 117-169 economics and public finance tax spending inflation fiscal-policy bill support ces/cces economic-policy redistribution issue items house democratic preference representative approval presidential taxes budget priorities household affordability anes pew research center gallup analytics,"Use economic-policy item responses with income, employment, education, age, family status, and party poststratification covariates.",ACS 2017-2021 district frame: poverty; employment; unemployment; median_household_income; households,"ACS income, poverty, employment, age, household, and benefit-relevant denominators by district","taxpayer, beneficiary, worker, or household outcome/support source selected after bill-text review",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,MN-02,"tax, spending, inflation, or fiscal-policy bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,taxes; spending; inflation; redistribution; budget priorities; household affordability,117-hr-6833 117-180 economics and public finance tax spending inflation fiscal-policy bill support ces/cces economic-policy redistribution issue items house democratic preference representative approval presidential taxes budget priorities household affordability anes pew research center gallup analytics,"Use economic-policy item responses with income, employment, education, age, family status, and party poststratification covariates.",ACS 2017-2021 district frame: poverty; employment; unemployment; median_household_income; households,"ACS income, poverty, employment, age, household, and benefit-relevant denominators by district","taxpayer, beneficiary, worker, or household outcome/support source selected after bill-text review",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,OR-04,"defense, veterans, or national-security bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,defense spending; veterans benefits; military family support; national-security threat response,117-hr-7776 117-263 armed forces and national security defense veterans national-security bill support ces/cces anes foreign-policy items veteran/military-family issue surveys where available house democratic preference representative approval presidential spending benefits military family threat response pew research center gallup analytics,"Use item-level defense or veterans responses with district veteran, age, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: veterans; civilian_population_18_plus; median_household_income; poverty; disability,"ACS veteran, active-duty, age, income, and household composition denominators by congressional district",veteran or military-family survey/outcome source paired with bill text before harm/support claims,survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,CA-36,"defense, veterans, or national-security bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,defense spending; veterans benefits; military family support; national-security threat response,117-hr-7925 117-238 armed forces and national security defense veterans national-security bill support ces/cces anes foreign-policy items veteran/military-family issue surveys where available house democratic preference representative approval presidential spending benefits military family threat response pew research center gallup analytics,"Use item-level defense or veterans responses with district veteran, age, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: veterans; civilian_population_18_plus; median_household_income; poverty; disability,"ACS veteran, active-duty, age, income, and household composition denominators by congressional district",veteran or military-family survey/outcome source paired with bill text before harm/support claims,survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,FL-16,"defense, veterans, or national-security bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; Gallup Analytics,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,defense spending; veterans benefits; military family support; national-security threat response,117-hr-6604 117-297 armed forces and national security defense veterans national-security bill support ces/cces anes foreign-policy items veteran/military-family issue surveys where available house democratic preference representative approval presidential spending benefits military family threat response pew research center gallup analytics,"Use item-level defense or veterans responses with district veteran, age, education, income, and party poststratification covariates.",ACS 2017-2021 district frame: veterans; civilian_population_18_plus; median_household_income; poverty; disability,"ACS veteran, active-duty, age, income, and household composition denominators by congressional district",veteran or military-family survey/outcome source paired with bill text before harm/support claims,survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",NH-02,"technology, communications, broadband, research, or science-policy bill support",CES/CCES,https://cces.gov.harvard.edu/,Pew Research Center; GSS; Gallup Analytics,https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,broadband; privacy; communications access; science funding; technology regulation,117-hr-7132 117-223 science technology communications broadband research science-policy bill support ces/cces privacy policy items where wording matches target house democratic preference representative approval presidential access funding regulation pew center gss gallup analytics,"Use technology, broadband, privacy, or science-policy item responses with internet access, education, age, income, urbanicity proxy, and party poststratification covariates.",ACS 2017-2021 district frame: internet_access; education_proxy_not_included; income; age_proxy_not_included; employment,"ACS internet subscription, computer access, education, income, age, and rural denominators by district","broadband-access, privacy, technology-consumer, research-workforce, or communications source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
8,8,117-hr-4346,117-167,"Science, Technology, Communications",OH-13,"technology, communications, broadband, research, or science-policy bill support",CES/CCES,https://cces.gov.harvard.edu/,Pew Research Center; GSS; Gallup Analytics,https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,broadband; privacy; communications access; science funding; technology regulation,117-hr-4346 117-167 science technology communications broadband research science-policy bill support ces/cces privacy policy items where wording matches target house democratic preference representative approval presidential access funding regulation pew center gss gallup analytics,"Use technology, broadband, privacy, or science-policy item responses with internet access, education, age, income, urbanicity proxy, and party poststratification covariates.",ACS 2017-2021 district frame: internet_access; education_proxy_not_included; income; age_proxy_not_included; employment,"ACS internet subscription, computer access, education, income, age, and rural denominators by district","broadband-access, privacy, technology-consumer, research-workforce, or communications source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
9,9,117-hr-2472,117-269,Government Operations and Politics,OH-06,"government-operations, democracy, ethics, or institutional-reform bill support",CES/CCES,https://cces.gov.harvard.edu/,ANES; Pew Research Center; GSS; PRRI,https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,"CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; ANES: national election studies data center; useful for item wording and covariates but not district estimates by itself; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; PRRI: public-religion and values survey archive; often useful for civil-rights, immigration, religion, and values items",trust in government; election administration; democracy protection; ethics reform; civic access,117-hr-2472 117-269 government operations and politics government-operations democracy ethics institutional-reform bill support ces/cces trust election administration items where wording matches target house democratic preference representative approval presidential protection reform civic access anes pew research center gss prri,"Use trust, democracy, or election-administration item responses with education, age, race, income, turnout proxy, and party poststratification covariates.",ACS 2017-2021 district frame: citizenship; language; disability; internet_access; race; ethnicity,"ACS voting-age, citizenship, language, disability, and access-relevant denominators by district","election-administration, civic-access, or administrative-burden source tied to bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
10,10,117-hr-7352,117-166,Commerce,NY-07,"commerce, consumer, or business-regulation bill support",CES/CCES,https://cces.gov.harvard.edu/,Pew Research Center; GSS; Gallup Analytics,https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,CES/CCES: large national election survey with common/team content; use only after item year and variable IDs are recorded; Pew Research Center: public survey datasets are topic-specific and may require a free account before microdata download; GSS: national trend data explorer; useful for long-run item wording but not district estimates by itself; Gallup Analytics: subscription public-opinion platform; mark as access-constrained unless licensed data are available,consumer protection; business regulation; supply-chain policy; competition or market oversight,117-hr-7352 117-166 commerce consumer business-regulation bill support ces/cces economic-regulation items business policy surveys where bill-topic wording exists house democratic preference representative approval presidential protection regulation supply-chain competition market oversight pew research center gss gallup analytics,"Use commerce or economic-regulation item responses with employment, industry, income, education, and party poststratification covariates.",ACS 2017-2021 district frame: employment; unemployment; median_household_income; poverty; internet_access,"ACS employment, industry, occupation, income, and small-business-relevant denominators by district","consumer, worker, or industry-specific support/harm source selected from bill text",survey_source_crosswalk_no_item_acquired,"Review official questionnaires/codebooks for the named source families, record exact survey year and item IDs, then build or import district-level support estimates before using any row as bill-topic public-opinion evidence.",public_opinion_source_acquisition_packet; census_tigerweb_116th_district_population_housing_denominator; acs_2017_2021_5yr_116th_congressional_district_context; public_opinion_survey_source_crosswalk,bill_topic_public_opinion; survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Survey-source crosswalk rows identify official source families, candidate item constructs, and acquisition search terms only; they are not acquired survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
