groupType,groupValue,billCount,actionCount,recordedVoteCount,meanActions,medianActions,publicLawCount,privateLawCount,sourceDateAnomalyCount,referredCount,referredRate,hearingCount,hearingRate,markupCount,markupRate,orderedReportedCount,orderedReportedRate,reportedCount,reportedRate,dischargedCount,dischargedRate,committeeAdvancedCount,committeeAdvancedRate,floorConsideredCount,floorConsideredRate,originPassageCount,originPassageRate,completedCongressionalPassageCount,completedCongressionalPassageRate,presentedCount,presentedRate,vetoedCount,vetoedRate,vetoOverriddenCount,vetoOverriddenRate,enactedCount,enactedRate
all,all H.R. and S. bills,15066,72047,697,4.782092,3.000000,355,3,5,14959,0.992898,790,0.052436,1347,0.089407,1347,0.089407,967,0.064184,573,0.038033,1511,0.100292,1003,0.066574,991,0.065777,358,0.023762,358,0.023762,0,0.000000,0,0.000000,358,0.023762
split,calibration,7564,36135,362,4.777234,3.000000,168,3,2,7510,0.992861,405,0.053543,675,0.089238,675,0.089238,478,0.063194,279,0.036885,750,0.099154,495,0.065442,487,0.064384,171,0.022607,171,0.022607,0,0.000000,0,0.000000,171,0.022607
split,heldout,7502,35912,335,4.786990,3.000000,187,0,3,7449,0.992935,385,0.051320,672,0.089576,672,0.089576,489,0.065183,294,0.039190,761,0.101440,508,0.067715,504,0.067182,187,0.024927,187,0.024927,0,0.000000,0,0.000000,187,0.024927
bill_type,hr,9709,54945,565,5.659182,4.000000,195,3,2,9698,0.998867,331,0.034092,901,0.092800,900,0.092697,559,0.057575,465,0.047894,956,0.098465,722,0.074364,719,0.074055,198,0.020393,198,0.020393,0,0.000000,0,0.000000,198,0.020393
bill_type,s,5357,17102,132,3.192458,2.000000,160,0,3,5261,0.982080,459,0.085682,446,0.083256,447,0.083442,408,0.076162,108,0.020161,555,0.103603,281,0.052455,272,0.050775,160,0.029867,160,0.029867,0,0.000000,0,0.000000,160,0.029867
sponsor_party,D,8878,45198,562,5.091011,3.000000,226,2,5,8846,0.996396,543,0.061162,934,0.105204,934,0.105204,680,0.076594,378,0.042577,1039,0.117031,672,0.075693,662,0.074566,228,0.025681,228,0.025681,0,0.000000,0,0.000000,228,0.025681
sponsor_party,R,6114,26680,135,4.363755,3.000000,129,1,0,6050,0.989532,238,0.038927,410,0.067059,410,0.067059,284,0.046451,195,0.031894,469,0.076709,331,0.054138,329,0.053811,130,0.021263,130,0.021263,0,0.000000,0,0.000000,130,0.021263
sponsor_party,I,63,147,0,2.333333,2.000000,0,0,0,63,1.000000,9,0.142857,3,0.047619,3,0.047619,3,0.047619,0,0.000000,3,0.047619,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
sponsor_party,unknown,11,22,0,2.000000,2.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,Health,1946,8608,57,4.423433,4.000000,19,0,0,1941,0.997431,7,0.003597,57,0.029291,57,0.029291,49,0.025180,14,0.007194,64,0.032888,73,0.037513,72,0.036999,19,0.009764,19,0.009764,0,0.000000,0,0.000000,19,0.009764
policy_area,Armed Forces and National Security,1235,6775,71,5.485830,3.000000,69,0,1,1229,0.995142,163,0.131984,154,0.124696,154,0.124696,45,0.036437,131,0.106073,200,0.161943,130,0.105263,129,0.104453,69,0.055870,69,0.055870,0,0.000000,0,0.000000,69,0.055870
policy_area,Government Operations and Politics,1136,7286,83,6.413732,3.000000,93,0,0,1123,0.988556,22,0.019366,261,0.229754,260,0.228873,149,0.131162,56,0.049296,272,0.239437,176,0.154930,170,0.149648,93,0.081866,93,0.081866,0,0.000000,0,0.000000,93,0.081866
policy_area,Taxation,1066,3104,1,2.911820,3.000000,0,0,0,1064,0.998124,6,0.005629,0,0.000000,0,0.000000,1,0.000938,2,0.001876,3,0.002814,3,0.002814,3,0.002814,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,International Affairs,913,4317,48,4.728368,3.000000,14,0,0,902,0.987952,5,0.005476,129,0.141292,131,0.143483,59,0.064622,12,0.013143,138,0.151150,74,0.081051,73,0.079956,14,0.015334,14,0.015334,0,0.000000,0,0.000000,14,0.015334
