review_rank,source_row_fingerprint,review_priority,manual_review_needed,manual_review_reason,bill_id,public_law_number,policy_area,sponsor_bioguide_id,committee_reported,floor_considered,enacted,filing_uuid,filing_year,filing_period,client_name,registrant_name,activity_issue,matched_bill_refs,text_review_status,preliminary_text_disposition,support_text_signal,opposition_text_signal,position_or_activity_text_signal,government_entity_scope,possible_member_or_committee_reference,target_review_status,bill_reference_context,recommended_next_review,evidence_layers,missing_links,source_urls,claim_boundary
1,f6dc7138cd367328,high,yes,support_signal; possible_member_or_committee_reference,117-hr-7776,117-263,Armed Forces and National Security,D000191,1,1,1,5610e7f6-8603-4947-98f1-80413b187cf9,2022,2nd Quarter (Apr 1 - June 30),RAYMOND BASIN MANAGEMENT BOARD,HICKS-RICHARDSON ASSOCIATES,Environment/Superfund,HR 7776,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,in_support_of,none_detected,none_detected,house_senate_and_agency_entities_disclosed,possible_committee_reference_in_activity_text,possible_member_or_committee_reference_needs_manual_target_review,Reauthorization of the Water Resources Development Act 2022 HR 7776 and working with Chairwoman Grace Napolitano in support of HR 7776.,Inspect filing text and linked Congress.gov bill/action metadata for manual disposition and target/outcome context.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/5610e7f6-8603-4947-98f1-80413b187cf9/print/; https://lda.gov/api/v1/filings/5610e7f6-8603-4947-98f1-80413b187cf9/; https://www.congress.gov/bill/117th-congress/hr-bill/7776; https://api.congress.gov/v3/bill/117/hr/7776,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
2,503e6d5d64a6ca40,high,yes,mixed_support_opposition_signal,117-s-3373,117-168,Armed Forces and National Security,K000384,1,1,1,04aba7a1-6385-4609-84be-43f81f3f99fe,2022,3rd Quarter (July 1 - Sep 30),AFGE NATIONAL VA COUNCIL,MS. MARILYN PARK,Veterans,S. 3373,exact_bill_text_with_mixed_support_opposition_signal,mixed_support_opposition_signal_needs_manual_confirmation,in_support_of,opposition_to,none_detected,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"..., and for other purposes. Lobbied in opposition to H.R. 7188, the Modernizing Department of Veterans Affairs Disability Benefit Questionnaires Act. Lobbied in support of S. 3373, the ""Honoring the PACT Act,"" Lobbied against SA 5185 (Blackburn) to S. 3373 Lobbied against SA 5186 (Toomey) to S. 373",Inspect filing text and linked Congress.gov bill/action metadata for manual disposition and target/outcome context.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/04aba7a1-6385-4609-84be-43f81f3f99fe/print/; https://lda.gov/api/v1/filings/04aba7a1-6385-4609-84be-43f81f3f99fe/; https://www.congress.gov/bill/117th-congress/s-bill/3373; https://api.congress.gov/v3/bill/117/s/3373,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
3,132b4b0fbfb37774,high,yes,mixed_support_opposition_signal,117-s-3373,117-168,Armed Forces and National Security,K000384,1,1,1,2b54c262-2b9d-4dac-8869-ad7e29a8ed46,2022,3rd Quarter (July 1 - Sep 30),AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO,"AMERICAN FED OF GOVERNMENT EMPLOYEES, AFL-CIO",Veterans,S. 3373,exact_bill_text_with_mixed_support_opposition_signal,mixed_support_opposition_signal_needs_manual_confirmation,in_support_of,opposition_to,none_detected,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"..., and for other purposes. Lobbied in opposition to H.R. 7188, the Modernizing Department of Veterans Affairs Disability Benefit Questionnaires Act. Lobbied in support of S. 3373, the ""Honoring the PACT Act."" Lobbied against SA 5185 (Blackburn) to S. 3373. Lobbied against SA 5186 (Toomey) to S. 373.",Inspect filing text and linked Congress.gov bill/action metadata for manual disposition and target/outcome context.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/2b54c262-2b9d-4dac-8869-ad7e29a8ed46/print/; https://lda.gov/api/v1/filings/2b54c262-2b9d-4dac-8869-ad7e29a8ed46/; https://www.congress.gov/bill/117th-congress/s-bill/3373; https://api.congress.gov/v3/bill/117/s/3373,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
4,3345f4eb68af976f,high,yes,possible_member_or_committee_reference,117-s-4900,117-183,Commerce,C000141,0,1,1,b8de17a4-f177-45a9-8772-ae2f78fddbee,2022,3rd Quarter (July 1 - Sep 30),THE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,Science/Technology,S. 4900,exact_bill_text_bill_list_or_title_only,bill_reference_without_disposition_signal,none_detected,none_detected,none_detected,house_senate_and_agency_entities_disclosed,possible_committee_reference_in_activity_text,possible_member_or_committee_reference_needs_manual_target_review,"House Science Space and Technology - NSF and NASA discussions, 2023 priorities NSF - TIPS House Small Business Committee, S. 4900, SBIR and STTR Extension Act of 2022 HR 4346, CHIPS Plus Science Act Artificial intelligence, digital forensics standards, digital privacy",Inspect filing text and linked Congress.gov bill/action metadata for manual disposition and target/outcome context.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/b8de17a4-f177-45a9-8772-ae2f78fddbee/print/; https://lda.gov/api/v1/filings/b8de17a4-f177-45a9-8772-ae2f78fddbee/; https://www.congress.gov/bill/117th-congress/s-bill/4900; https://api.congress.gov/v3/bill/117/s/4900,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
5,1aa7f0b7fe410985,medium,yes,support_signal,117-hr-1437,117-229,Economics and Public Finance,S001207,1,1,1,7de5a0c6-4b89-4372-b7d6-abd22cea06f9,2021,1st Quarter (Jan 1 - Mar 31),AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,Science/Technology,H.R. 1437,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,supporting,none_detected,none_detected,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Researchers Act...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/7de5a0c6-4b89-4372-b7d6-abd22cea06f9/print/; https://lda.gov/api/v1/filings/7de5a0c6-4b89-4372-b7d6-abd22cea06f9/; https://www.congress.gov/bill/117th-congress/hr-bill/1437; https://api.congress.gov/v3/bill/117/hr/1437,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
6,3be4321357e59559,medium,yes,support_signal,117-hr-1437,117-229,Economics and Public Finance,S001207,1,1,1,02fb4073-b3a0-4d4a-84c7-7be391f608d0,2021,2nd Quarter (Apr 1 - June 30),AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,Science/Technology,H.R. 1437,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,supporting,none_detected,none_detected,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Researchers Act...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/02fb4073-b3a0-4d4a-84c7-7be391f608d0/print/; https://lda.gov/api/v1/filings/02fb4073-b3a0-4d4a-84c7-7be391f608d0/; https://www.congress.gov/bill/117th-congress/hr-bill/1437; https://api.congress.gov/v3/bill/117/hr/1437,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
7,865aa18855e82109,medium,yes,position_or_activity_signal,117-hr-1437,117-229,Economics and Public Finance,S001207,1,1,1,d620d380-3727-41b1-ad49-1d185f3856ba,2021,2nd Quarter (Apr 1 - June 30),"JACOBS SOLUTIONS, INC.","JACOBS SOLUTIONS, INC.",Clean Air and Water (quality),H.R. 1437,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,issues_related_to; related_to,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,...to public-private partnerships and the U.S. Army Corps of Engineers Issues related to the Environmental Protection Agency Superfund Program Issues related to PRECIP Act (H.R. 1437) Issues related to FLOODS Act (H.R. 1438) Issues related to PFAS and water Issues related to low-income water assistance (HR 3293),"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/d620d380-3727-41b1-ad49-1d185f3856ba/print/; https://lda.gov/api/v1/filings/d620d380-3727-41b1-ad49-1d185f3856ba/; https://www.congress.gov/bill/117th-congress/hr-bill/1437; https://api.congress.gov/v3/bill/117/hr/1437,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
8,05f8eef393ebed45,medium,yes,support_signal,117-hr-1437,117-229,Economics and Public Finance,S001207,1,1,1,cd08a0da-dd69-4c02-8046-8f6be49753f4,2021,3rd Quarter (July 1 - Sep 30),AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,Science/Technology,H.R. 1437,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,supporting,none_detected,none_detected,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Researchers Act...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/cd08a0da-dd69-4c02-8046-8f6be49753f4/print/; https://lda.gov/api/v1/filings/cd08a0da-dd69-4c02-8046-8f6be49753f4/; https://www.congress.gov/bill/117th-congress/hr-bill/1437; https://api.congress.gov/v3/bill/117/hr/1437,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
9,01a3f1d7f5bc67be,medium,yes,position_or_activity_signal,117-hr-1437,117-229,Economics and Public Finance,S001207,1,1,1,c693cff3-4eeb-4d40-a300-1ff45f7f6b2d,2021,3rd Quarter (July 1 - Sep 30),"JACOBS SOLUTIONS, INC.","JACOBS SOLUTIONS, INC.",Clean Air and Water (quality),H.R. 1437,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal_needs_manual_confirmation,none_detected,none_detected,issues_related_to; related_to,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,...to public-private partnerships and the U.S. Army Corps of Engineers Issues related to the Environmental Protection Agency Superfund Program Issues related to PRECIP Act (H.R. 1437) Issues related to FLOODS Act (H.R. 1438) Issues related to PFAS and water Issues related to low-income water assistance (HR 3293),"Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/c693cff3-4eeb-4d40-a300-1ff45f7f6b2d/print/; https://lda.gov/api/v1/filings/c693cff3-4eeb-4d40-a300-1ff45f7f6b2d/; https://www.congress.gov/bill/117th-congress/hr-bill/1437; https://api.congress.gov/v3/bill/117/hr/1437,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
10,6733c294d455ffc3,medium,yes,support_signal,117-hr-1437,117-229,Economics and Public Finance,S001207,1,1,1,344f5055-f04e-45c8-9a5b-600ccc20cb6b,2021,4th Quarter (Oct 1 - Dec 31),AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,Science/Technology,H.R. 1437,exact_bill_text_with_explicit_support_signal,support_signal_needs_manual_confirmation,supporting,none_detected,none_detected,house_senate_and_agency_entities_disclosed,not_detected_in_activity_text,chamber_entity_context_only_no_specific_target_detected,"FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Researchers Act...","Manually confirm direction/position and check whether the filing names a target, member, or committee rather than only a chamber/entity.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; congressgov_bill_action_metadata_context,manual_disposition_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://lda.gov/filings/public/filing/344f5055-f04e-45c8-9a5b-600ccc20cb6b/print/; https://lda.gov/api/v1/filings/344f5055-f04e-45c8-9a5b-600ccc20cb6b/; https://www.congress.gov/bill/117th-congress/hr-bill/1437; https://api.congress.gov/v3/bill/117/hr/1437,"LDA disposition/target source-review queue only; deterministic text signals and possible target references are not manual disposition confirmation, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
