manual_packet_review_rank,packet_rank,packet_fingerprint,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,support_text_signals,opposition_text_signals,manual_review_source,manual_packet_disposition_status,manual_packet_disposition,manual_packet_disposition_basis,manual_target_status,manual_target_type,manual_target_text,manual_target_basis,manual_outcome_link_status,manual_reviewer_note,bill_reference_context_samples,evidence_layers,missing_links,source_urls,claim_boundary
1,1,eda95b8cc7dcaffb,117-hr-1437,117-229,Economics and Public Finance,AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,Science/Technology,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,8,05f8eef393ebed45; 1aa7f0b7fe410985; 31566125dda0323b; 3be4321357e59559; 6733c294d455ffc3; 6ddfb0b11d54dc9c; d45f534f4b741642; e7495bc33725ca0e,5; 6; 8; 10; 12; 14; 16; 18,supporting,none_detected,official_lda_activity_text,reviewed_direction_signal_on_other_measure,current_bill_reference_without_confirmed_support,support_signal_from_supporting_early_career_researchers_act_not_precip_act,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Support word appears in another bill title while PRECIP Act is listed as a bill reference,"FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Researchers Act... || FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations (H.R. 2471) National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Rese...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/02fb4073-b3a0-4d4a-84c7-7be391f608d0/; https://lda.gov/api/v1/filings/344f5055-f04e-45c8-9a5b-600ccc20cb6b/; https://lda.gov/api/v1/filings/45fc5a4f-6d6e-4198-9877-2ce97a1d4462/; https://lda.gov/api/v1/filings/63e9618e-31c8-4568-b223-4a1b74687b54/; https://lda.gov/api/v1/filings/7de5a0c6-4b89-4372-b7d6-abd22cea06f9/; https://lda.gov/api/v1/filings/960cf49d-be39-4162-ad2a-0b1b1b3eaf96/; https://lda.gov/api/v1/filings/cd08a0da-dd69-4c02-8046-8f6be49753f4/; https://lda.gov/api/v1/filings/ea132832-a96b-4284-8be6-8eaaaca1ec3b/; https://lda.gov/filings/public/filing/02fb4073-b3a0-4d4a-84c7-7be391f608d0/print/; https://lda.gov/filings/public/filing/344f5055-f04e-45c8-9a5b-600ccc20cb6b/print/; https://lda.gov/filings/public/filing/45fc5a4f-6d6e-4198-9877-2ce97a1d4462/print/; https://lda.gov/filings/public/filing/63e9618e-31c8-4568-b223-4a1b74687b54/print/; https://lda.gov/filings/public/filing/7de5a0c6-4b89-4372-b7d6-abd22cea06f9/print/; https://lda.gov/filings/public/filing/960cf49d-be39-4162-ad2a-0b1b1b3eaf96/print/; https://lda.gov/filings/public/filing/cd08a0da-dd69-4c02-8046-8f6be49753f4/print/; https://lda.gov/filings/public/filing/ea132832-a96b-4284-8be6-8eaaaca1ec3b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
2,11,a917c5be54722564,117-hr-4346,117-167,"Science, Technology, Communications",COLORADO STATE UNIVERSITY FOUNDATION,WOODBERRY ASSOCIATES,Budget/Appropriations,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,2,0341436cbfda2897; 7903f2a3137a5fae,32; 33,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_ties_hr_4346_to_support_for_university_funding,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support language attached to the current bill funding context only,...tive institutes HR 4432 Defense Appropriations - support for university research partnerships Energy and Water Appropriations - support for LaserNetUS and flood research HR 4346 Interior/Environment Appropriations - support for university funding Labor/HHS/Education appropriations - support for an engineering research partnership FY 22 appropria... || ...tive institutes HR 4432 Defense Appropriations - support for university research partnerships Energy and Water Appropriations - support for LaserNetUS and flood research HR 4346 Interior/Environment Appropriations - support for university funding Labor/HHS/Education appropriations - support for engineering research partnership FY 22 appropriatio...,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/4346; https://lda.gov/api/v1/filings/1ad6b10c-8088-48c3-bef5-0a3c8f488309/; https://lda.gov/api/v1/filings/d4705d95-af56-4c7f-9f3c-474b3feae9f6/; https://lda.gov/filings/public/filing/1ad6b10c-8088-48c3-bef5-0a3c8f488309/print/; https://lda.gov/filings/public/filing/d4705d95-af56-4c7f-9f3c-474b3feae9f6/print/; https://www.congress.gov/bill/117th-congress/hr-bill/4346,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
3,16,992863d4e76a6ef1,117-hr-5376,117-169,Economics and Public Finance,AMERICAN SMALL MANUFACTURERS COALITION,AMERICAN SMALL MANUFACTURERS COALITION,Budget/Appropriations,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,bd8984d7e8b22d21,38,in_support_of,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_hr_5376_build_back_better_act_in_support_of_mep_program_funding,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for MEP program funding in the current bill context only,...to Manufacturing Extension Partnership funding. HR 5305 - Extending Government Funding and Delivering Emergency Assistance Act - in support of continued funding for MEP. HR 5376 - Build Back Better Act in support of MEP program funding.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/a8222b62-a1c5-442c-bded-2ae60e7621b9/; https://lda.gov/filings/public/filing/a8222b62-a1c5-442c-bded-2ae60e7621b9/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
4,19,6032930978192586,117-hr-5376,117-169,Economics and Public Finance,BUILDING AND CONSTRUCTION TRADES DEPT AFL-CIO,"BUILDING AND CONSTRUCTION TRADES DEPT., AFL-CIO",Budget/Appropriations,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,2,631ce16f77a8fe5e; e3888dae69ac4424,41; 58,advocacy_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_hr_5376_build_back_better_act_advocated_for_energy_provisions_and_labor_policies,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms advocacy for current-bill provisions only,"...- House Fiscal Year 2022 Energy and Water Appropriations - Lobbied for the full funding of advanced nuclear programs, energy related projects, and nuclear cleanup sites. HR 5376 - The Build Back Better Act - Advocated for the inclusion of energy provisions and labor policies. No bill number. Lobbied on inclusion of school construction funding fo... || ...It increases the permissible stock ownership and constructive stock ownership percentage in a REIT to 50% and modifies rules for taxable REIT subsidiaries. Bill in full. HR 5376 - The Build Back Better Act - Advocated for the inclusion of energy provisions and labor protections. Bill in full. No bill number - Justice 40 Initiative - Lobbied for...",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/ba29888d-2b4b-46ce-89bf-bfc25d145d19/; https://lda.gov/api/v1/filings/f2e1ea8d-bbe6-4063-96bf-b9407ac73c5e/; https://lda.gov/filings/public/filing/ba29888d-2b4b-46ce-89bf-bfc25d145d19/print/; https://lda.gov/filings/public/filing/f2e1ea8d-bbe6-4063-96bf-b9407ac73c5e/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
5,25,031f4c66ae36e6f1,117-hr-5376,117-169,Economics and Public Finance,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Science/Technology,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,6951cfbfa45427db,49,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_lists_support_for_research_investment_with_hr_5376,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for research investment linked to the current bill context only,"...cy Assistance Act) Support for agriculture, oceans, wildfire related climate research investment to NSF, NOAA, Agriculture (HR 3684 Infrastructure Investment & Jobs Act; HR 5376 Build Back Better Act)",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d71683c9-433e-4eeb-bb04-431870a5ff16/; https://lda.gov/filings/public/filing/d71683c9-433e-4eeb-bb04-431870a5ff16/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
6,26,5e06ad5264e93b96,117-hr-5376,117-169,Economics and Public Finance,OREGON STATE UNIVERSITY,OREGON STATE UNIVERSITY,Immigration,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,9ad4ef89180e60a9,50,support_for,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_support_for_statutory_daca_solution_with_hr_5376,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for a DACA solution in the current bill context only,Support for statutory solution for DACA (HR 5376 Build Back Better Act),official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/d71683c9-433e-4eeb-bb04-431870a5ff16/; https://lda.gov/filings/public/filing/d71683c9-433e-4eeb-bb04-431870a5ff16/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
7,33,5bfc565844d55c1f,117-hr-5376,117-169,Economics and Public Finance,CSX CORPORATION,"THE SMITH-FREE GROUP, LLC",Railroads,medium_opposition_disposition_packet_needs_confirmation,opposition_text_signal_needs_manual_confirmation,1,55e86bc10f288c5f,59,none_detected,oppose,official_lda_activity_text,reviewed_current_bill_monitoring_only_with_related_opposition,current_bill_monitored_without_directional_position,activity_text_opposes_s_2016_but_only_monitors_hr_5376,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Opposition signal applies to S.2016 while HR5376 is only monitored,...etition in the American Economy Discussions involving Gulf Coast passenger service S 2016 Rail Shipper Fairness Act of 2021 (all sections of full text)(oppose) Monitored HR 5376 Build Back Better Act Monitored discussions related to truck size and weight Monitored implementation of P.L. 117-2 American Rescue Plan Act of 2021,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/5376; https://lda.gov/api/v1/filings/56e755d5-45d7-4703-bd33-2eb4903361c9/; https://lda.gov/filings/public/filing/56e755d5-45d7-4703-bd33-2eb4903361c9/print/; https://www.congress.gov/bill/117th-congress/hr-bill/5376,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
8,55,086c8352a1ae8daa,117-hr-7776,117-263,Armed Forces and National Security,CITY OF WACO,HICKS-RAY ASSOCIATES,Transportation,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,a4cd120cef67dae1,84,in_support_of,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_says_advocate_in_support_of_passage_of_wrda_hr_7776,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms support for passage of the current bill only,"...ter Appropriations Bill and for consideration in the Interior and Environment Appropriations bill. Advocate in support of passage of the Water Resources Development Act, HR 7776.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/cdcf177f-ed4d-4b99-98ff-853800a4470f/; https://lda.gov/filings/public/filing/cdcf177f-ed4d-4b99-98ff-853800a4470f/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
9,58,9c143fd78a11e649,117-hr-7776,117-263,Armed Forces and National Security,SAN GABRIEL VALLEY WATER ASSOCIATION,HICKS-RICHARDSON ASSOCIATES,Environment/Superfund,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,1,c9d2ed108b64c409,87,supporting,none_detected,official_lda_activity_text,reviewed_current_bill_support,confirmed_support_for_current_bill_or_bill_provision,activity_text_identifies_hr_7776_and_supporting_whittier_narrows_dam_rehabilitation,reviewed_named_member_or_chair_text_reference,member_reference,Congresswoman Napolitano,activity_text_names_congresswoman_napolitano_but_does_not_confirm_lobbying_contact_or_outcome_influence,no_outcome_influence_evidence,Packet confirms support for a current-bill rehabilitation provision and a named member text reference only,The House version of the Water Resources Development Act which is going through a reauthorization process. The legislation is HR 7776. Supporting continuing rehabilitation of the Whittier Narrows Dam. Worked with Congresswoman Napolitano.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/c3270bbe-1303-40a5-b2ae-9f79d815ec4a/; https://lda.gov/filings/public/filing/c3270bbe-1303-40a5-b2ae-9f79d815ec4a/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
10,59,c0da70d4ef109a54,117-hr-7776,117-263,Armed Forces and National Security,SOUTHERN ENVIRONMENTAL LAW CENTER,SOUTHERN ENVIRONMENTAL LAW CENTER,Government Issues,medium_opposition_disposition_packet_needs_confirmation,opposition_text_signal_needs_manual_confirmation,1,a499f8500db12967,88,none_detected,oppose,official_lda_activity_text,reviewed_current_bill_opposition,confirmed_opposition_to_current_bill_or_bill_provision,activity_text_says_hr_7776_opposing_provisions_that_would_weaken_nepa,reviewed_no_specific_member_or_committee_target_in_activity_text,none_detected,,activity_text_packet_does_not_name_specific_member_or_committee_target,no_outcome_influence_evidence,Packet confirms opposition to current-bill provisions only,"HR 7776, Water Resources Development Act of 2022, opposing provisions that would weaken NEPA.",official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet; manual_medium_directional_packet_review,lobbying_contact_confirmation; sponsor_or_member_target_beyond_activity_text_reference; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/7776; https://lda.gov/api/v1/filings/1cf8c654-2c85-4aa7-9358-54f842dbed1d/; https://lda.gov/filings/public/filing/1cf8c654-2c85-4aa7-9358-54f842dbed1d/print/; https://www.congress.gov/bill/117th-congress/hr-bill/7776,Manual medium-priority LDA directional packet source review only; packet-level activity-text dispositions do not show lobbying contact or sponsor/member targeting beyond text references or committee-action influence or roll-call influence or legislative-outcome causality or public benefit or welfare or causal capture or model validation.
