packet_rank,packet_fingerprint,review_priority,packet_review_status,direction_signal_summary,rows_represented,source_row_fingerprints,queue_review_ranks,bill_id,public_law_number,policy_area,client_name,registrant_name,activity_issue,text_review_status,manual_review_reason,target_review_status,filing_uuids,filing_years,filing_periods,support_text_signals,opposition_text_signals,position_or_activity_text_signals,distinct_context_count,bill_reference_context_samples,disposition_next_step,target_next_step,evidence_layers,missing_links,source_urls,claim_boundary
1,eda95b8cc7dcaffb,medium,medium_support_disposition_packet_needs_confirmation,support_text_signal_needs_manual_confirmation,8,05f8eef393ebed45; 1aa7f0b7fe410985; 31566125dda0323b; 3be4321357e59559; 6733c294d455ffc3; 6ddfb0b11d54dc9c; d45f534f4b741642; e7495bc33725ca0e,5; 6; 8; 10; 12; 14; 16; 18,117-hr-1437,117-229,Economics and Public Finance,AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS,Science/Technology,exact_bill_text_with_explicit_support_signal,support_signal,chamber_entity_context_only_no_specific_target_detected,02fb4073-b3a0-4d4a-84c7-7be391f608d0; 344f5055-f04e-45c8-9a5b-600ccc20cb6b; 45fc5a4f-6d6e-4198-9877-2ce97a1d4462; 63e9618e-31c8-4568-b223-4a1b74687b54; 7de5a0c6-4b89-4372-b7d6-abd22cea06f9; 960cf49d-be39-4162-ad2a-0b1b1b3eaf96; cd08a0da-dd69-4c02-8046-8f6be49753f4; ea132832-a96b-4284-8be6-8eaaaca1ec3b,2021; 2022,1st Quarter (Jan 1 - Mar 31); 2nd Quarter (Apr 1 - June 30); 3rd Quarter (July 1 - Sep 30); 4th Quarter (Oct 1 - Dec 31),supporting,none_detected,none_detected,2,"FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Researchers Act... || FLOODS Act (H.R. 1438) PRECIP Act (H.R. 1437) H.R.1319, American Rescue Plan Act of 2021 FY22 Appropriations (H.R. 2471) National Science Foundation for the Future Act HR 2225 H.R.144 - Supporting Early-Career Rese...","Confirm whether the support signal applies to the current bill and whether any source text identifies a target, action, roll call, or outcome disposition.",No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/02fb4073-b3a0-4d4a-84c7-7be391f608d0/; https://lda.gov/api/v1/filings/344f5055-f04e-45c8-9a5b-600ccc20cb6b/; https://lda.gov/api/v1/filings/45fc5a4f-6d6e-4198-9877-2ce97a1d4462/; https://lda.gov/api/v1/filings/63e9618e-31c8-4568-b223-4a1b74687b54/; https://lda.gov/api/v1/filings/7de5a0c6-4b89-4372-b7d6-abd22cea06f9/; https://lda.gov/api/v1/filings/960cf49d-be39-4162-ad2a-0b1b1b3eaf96/; https://lda.gov/api/v1/filings/cd08a0da-dd69-4c02-8046-8f6be49753f4/; https://lda.gov/api/v1/filings/ea132832-a96b-4284-8be6-8eaaaca1ec3b/; https://lda.gov/filings/public/filing/02fb4073-b3a0-4d4a-84c7-7be391f608d0/print/; https://lda.gov/filings/public/filing/344f5055-f04e-45c8-9a5b-600ccc20cb6b/print/; https://lda.gov/filings/public/filing/45fc5a4f-6d6e-4198-9877-2ce97a1d4462/print/; https://lda.gov/filings/public/filing/63e9618e-31c8-4568-b223-4a1b74687b54/print/; https://lda.gov/filings/public/filing/7de5a0c6-4b89-4372-b7d6-abd22cea06f9/print/; https://lda.gov/filings/public/filing/960cf49d-be39-4162-ad2a-0b1b1b3eaf96/print/; https://lda.gov/filings/public/filing/cd08a0da-dd69-4c02-8046-8f6be49753f4/print/; https://lda.gov/filings/public/filing/ea132832-a96b-4284-8be6-8eaaaca1ec3b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
2,2cf7bd20faf81fe5,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,7,01a3f1d7f5bc67be; 173208da55392675; 49898e796cc21344; 6fc0d7b62d1333b9; 865aa18855e82109; dc5af4f4098fe4a6; fba7a2a0024743db,7; 9; 11; 13; 15; 17; 24,117-hr-1437,117-229,Economics and Public Finance,"JACOBS SOLUTIONS, INC.","JACOBS SOLUTIONS, INC.",Clean Air and Water (quality),exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,2018bc02-5d2e-4969-8d83-8fa146ecce2d; 303d30c6-11b5-4571-be41-d1271b3c06f8; 5b04d1b9-1efd-4ad0-b656-c44f25da6c68; ad6a3565-6a47-4521-b3a6-8af40c780a9b; c693cff3-4eeb-4d40-a300-1ff45f7f6b2d; d620d380-3727-41b1-ad49-1d185f3856ba; e0f7384d-1b04-40d4-a4f5-1c423a73814d,2021; 2022,1st Quarter (Jan 1 - Mar 31); 2nd Quarter (Apr 1 - June 30); 3rd Quarter (July 1 - Sep 30); 4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,issues_related_to; related_to,1,...to public-private partnerships and the U.S. Army Corps of Engineers Issues related to the Environmental Protection Agency Superfund Program Issues related to PRECIP Act (H.R. 1437) Issues related to FLOODS Act (H.R. 1438) Issues related to PFAS and water Issues related to low-income water assistance (HR 3293),Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/2018bc02-5d2e-4969-8d83-8fa146ecce2d/; https://lda.gov/api/v1/filings/303d30c6-11b5-4571-be41-d1271b3c06f8/; https://lda.gov/api/v1/filings/5b04d1b9-1efd-4ad0-b656-c44f25da6c68/; https://lda.gov/api/v1/filings/ad6a3565-6a47-4521-b3a6-8af40c780a9b/; https://lda.gov/api/v1/filings/c693cff3-4eeb-4d40-a300-1ff45f7f6b2d/; https://lda.gov/api/v1/filings/d620d380-3727-41b1-ad49-1d185f3856ba/; https://lda.gov/api/v1/filings/e0f7384d-1b04-40d4-a4f5-1c423a73814d/; https://lda.gov/filings/public/filing/2018bc02-5d2e-4969-8d83-8fa146ecce2d/print/; https://lda.gov/filings/public/filing/303d30c6-11b5-4571-be41-d1271b3c06f8/print/; https://lda.gov/filings/public/filing/5b04d1b9-1efd-4ad0-b656-c44f25da6c68/print/; https://lda.gov/filings/public/filing/ad6a3565-6a47-4521-b3a6-8af40c780a9b/print/; https://lda.gov/filings/public/filing/c693cff3-4eeb-4d40-a300-1ff45f7f6b2d/print/; https://lda.gov/filings/public/filing/d620d380-3727-41b1-ad49-1d185f3856ba/print/; https://lda.gov/filings/public/filing/e0f7384d-1b04-40d4-a4f5-1c423a73814d/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
3,c83366cb89a48ad2,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,a301fd7d7fea1113,19,117-hr-1437,117-229,Economics and Public Finance,ASSURANT INC,"ASSURANT, INC.",Insurance,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,1a10843f-1fac-4f5a-a479-ed5ff0544a37,2022,4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,issues_related_to; related_to,1,Issues related to the reauthorization of the National Flood Insurance Program are H.R. 8036; H.R.4373; H.R. 1437; HR 2617,Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/1a10843f-1fac-4f5a-a479-ed5ff0544a37/; https://lda.gov/filings/public/filing/1a10843f-1fac-4f5a-a479-ed5ff0544a37/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
4,13d9178354aee652,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,0f37a2b410805f4d,20,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,a5a7b87b-c5bc-44e3-a13c-79de99af732c,2022,4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,related_to,1,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus) HR 1437 - Further Continuing Appropriations and Extensions Act State Opioid Response (SOR) Grants funding H.R. 2379 - The State Opioid Response Grant Authorization Act of 2021 S...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/a5a7b87b-c5bc-44e3-a13c-79de99af732c/; https://lda.gov/filings/public/filing/a5a7b87b-c5bc-44e3-a13c-79de99af732c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
5,5d7b27113fc077ff,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,4cf9ec04bc05dcdd,21,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Homeland Security,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,a5a7b87b-c5bc-44e3-a13c-79de99af732c,2022,4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,related_to,1,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus) HR 1437 - Further Continuing Appropriations and Extensions Act State Opioid Response (SOR) Grants funding H.R. 2379 - The State Opioid Response Grant Authorization Act of 2021 S...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/a5a7b87b-c5bc-44e3-a13c-79de99af732c/; https://lda.gov/filings/public/filing/a5a7b87b-c5bc-44e3-a13c-79de99af732c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
6,23e3feefb88603c0,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,baad12bb46559bbb,22,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",Disaster Planning/Emergencies,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,a5a7b87b-c5bc-44e3-a13c-79de99af732c,2022,4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,related_to,1,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus) HR 1437 - Further Continuing Appropriations and Extensions Act State Opioid Response (SOR) Grants funding H.R. 2379 - The State Opioid Response Grant Authorization Act of 2021 S...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/a5a7b87b-c5bc-44e3-a13c-79de99af732c/; https://lda.gov/filings/public/filing/a5a7b87b-c5bc-44e3-a13c-79de99af732c/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
7,b130060e47ed110e,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,e4a72f8667ecf9d0,23,117-hr-1437,117-229,Economics and Public Finance,EMERGENT BIOSOLUTIONS INC.,"ERVIN GRAVES STRATEGY GROUP, LLC",Disaster Planning/Emergencies,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,820e47b3-ed38-4149-a341-b3f7a01a904b,2022,4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,related_to,1,"NDAA for Fiscal Year 2023 - provisions related to biological and chemical defense and access to naloxone; HR 2617 - Consolidated Appropriations Act, 2023 (Omnibus); HR 1437 - Further Continuing Appropriations and Extensions Act; Opioid and heroin addiction legislation, naloxone access and awareness and opioid prescribing guidelines; Issues...",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1437; https://lda.gov/api/v1/filings/820e47b3-ed38-4149-a341-b3f7a01a904b/; https://lda.gov/filings/public/filing/820e47b3-ed38-4149-a341-b3f7a01a904b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1437,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
8,ecb6b28ce5e933a3,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,7defa48ef90eb116,25,117-hr-1652,117-27,Crime and Law Enforcement,HERITAGE ACTION FOR AMERICA,HERITAGE ACTION FOR AMERICA,Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,fbf81348-1d2f-4382-b40c-53353f4d4a60,2021,3rd Quarter (July 1 - Sep 30),none_detected,none_detected,all_provisions,1,"...t,"" all provisions. HR 5376 ""Build Back Better Act,"" all provisions. S 2868 ""A bill to temporarily extend the public debt limit until December 16, 2022,"" all provisions. HR 1652 ""VOCA Fix to Sustain the Crime Victims Fund Act of 2021,"" all provisions in SAmdt 2121.",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/1652; https://lda.gov/api/v1/filings/fbf81348-1d2f-4382-b40c-53353f4d4a60/; https://lda.gov/filings/public/filing/fbf81348-1d2f-4382-b40c-53353f4d4a60/print/; https://www.congress.gov/bill/117th-congress/hr-bill/1652,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
9,e80dda05df019d45,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,1,1360e875c9794c58,26,117-hr-2472,117-269,Government Operations and Politics,AMERICAN VAPOR MANUFACTURERS,"ERVIN GRAVES STRATEGY GROUP, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,no_government_entity_context_or_specific_target_detected,195ea81a-55cd-499d-828a-651ce18c6b6b,2022,1st Quarter (Jan 1 - Mar 31),none_detected,none_detected,position_on,1,"Strategic Planning, represent to congress position on appropriations, HR 2472, Consolidated Appropriations Act, Produce background documents on industry.",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/2472; https://lda.gov/api/v1/filings/195ea81a-55cd-499d-828a-651ce18c6b6b/; https://lda.gov/filings/public/filing/195ea81a-55cd-499d-828a-651ce18c6b6b/print/; https://www.congress.gov/bill/117th-congress/hr-bill/2472,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
10,c71611168cabba65,medium,medium_position_activity_packet_needs_direction_review,position_or_activity_text_signal_needs_direction_review,5,29485a35998040a5; 2d11138cfd8add19; 3a92c15c2f652e57; 53ba7c18c0da91eb; 831886f2ff8ed647,27; 28; 29; 30; 31,117-hr-2472,117-269,Government Operations and Politics,AMERICAN VAPOR MANUFACTURERS,"ERVIN GRAVES STRATEGY GROUP, LLC",Budget/Appropriations,exact_bill_text_with_position_or_activity_signal,position_or_activity_signal,chamber_entity_context_only_no_specific_target_detected,25e4a05b-cdff-4e7f-9940-f37fe63b41a2; 5306a1b3-7b34-4feb-a539-7dc5e8c6e494; ca11ae06-ac26-4cdf-bf62-2095b0562718; e34480ef-a959-47bc-819d-9d826f3848b4; f8a74892-f68a-42d1-8769-866dcab3e7cd,2022,1st Quarter (Jan 1 - Mar 31); 2nd Quarter (Apr 1 - June 30); 3rd Quarter (July 1 - Sep 30); 4th Quarter (Oct 1 - Dec 31),none_detected,none_detected,position_on,1,"Strategic Planning, represent to congress position on appropriations, HR 2472, Consolidated Appropriations Act, Produce background documents on industry.",Review source text for directional support/opposition only if a future claim would use this packet beyond bill-reference or activity context.,No specific target detected in current activity-text packet; keep target claims missing unless source review finds one.,official_lda_filing_text_bill_identifier; official_lda_activity_text_source_review; deterministic_activity_text_position_signal; disposition_target_review_queue; medium_disposition_review_packet,manual_disposition_confirmation; lobbying_contact_confirmation; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,https://api.congress.gov/v3/bill/117/hr/2472; https://lda.gov/api/v1/filings/25e4a05b-cdff-4e7f-9940-f37fe63b41a2/; https://lda.gov/api/v1/filings/5306a1b3-7b34-4feb-a539-7dc5e8c6e494/; https://lda.gov/api/v1/filings/ca11ae06-ac26-4cdf-bf62-2095b0562718/; https://lda.gov/api/v1/filings/e34480ef-a959-47bc-819d-9d826f3848b4/; https://lda.gov/api/v1/filings/f8a74892-f68a-42d1-8769-866dcab3e7cd/; https://lda.gov/filings/public/filing/25e4a05b-cdff-4e7f-9940-f37fe63b41a2/print/; https://lda.gov/filings/public/filing/5306a1b3-7b34-4feb-a539-7dc5e8c6e494/print/; https://lda.gov/filings/public/filing/ca11ae06-ac26-4cdf-bf62-2095b0562718/print/; https://lda.gov/filings/public/filing/e34480ef-a959-47bc-819d-9d826f3848b4/print/; https://lda.gov/filings/public/filing/f8a74892-f68a-42d1-8769-866dcab3e7cd/print/; https://www.congress.gov/bill/117th-congress/hr-bill/2472,"Medium-priority LDA disposition source-review packets only; grouped deterministic activity-text signals are not manual disposition confirmation, lobbying-contact evidence, sponsor/member targeting evidence, committee-action influence, roll-call influence, legislative-outcome causality, public benefit, welfare, causal capture, or model validation."
