scenarioKey,scenario,metric,seedCount,mean,min,max,range
current-system,Stylized U.S.-like benchmark,directionalScore,5,0.546544,0.545444,0.548222,0.002778
current-system,Stylized U.S.-like benchmark,productivity,5,0.047678,0.046500,0.050000,0.003500
current-system,Stylized U.S.-like benchmark,compromise,5,0.377400,0.371000,0.383500,0.012500
current-system,Stylized U.S.-like benchmark,lowSupport,5,0.000000,0.000000,0.000000,0.000000
current-system,Stylized U.S.-like benchmark,welfare,5,0.755311,0.750944,0.758389,0.007444
current-system,Stylized U.S.-like benchmark,riskControl,5,0.928211,0.926722,0.929278,0.002556
simple-majority,Unicameral simple majority,directionalScore,5,0.571744,0.571444,0.572167,0.000722
simple-majority,Unicameral simple majority,productivity,5,0.267733,0.266111,0.270500,0.004389
simple-majority,Unicameral simple majority,compromise,5,0.233944,0.231556,0.237000,0.005444
simple-majority,Unicameral simple majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
simple-majority,Unicameral simple majority,welfare,5,0.635878,0.633556,0.639500,0.005944
simple-majority,Unicameral simple majority,riskControl,5,0.879544,0.878000,0.881167,0.003167
supermajority-60,Unicameral 60 percent passage,directionalScore,5,0.549244,0.548833,0.549778,0.000944
supermajority-60,Unicameral 60 percent passage,productivity,5,0.092089,0.089111,0.093833,0.004722
supermajority-60,Unicameral 60 percent passage,compromise,5,0.357733,0.356222,0.359500,0.003278
supermajority-60,Unicameral 60 percent passage,lowSupport,5,0.000000,0.000000,0.000000,0.000000
supermajority-60,Unicameral 60 percent passage,welfare,5,0.707922,0.704056,0.711444,0.007389
supermajority-60,Unicameral 60 percent passage,riskControl,5,0.914300,0.913000,0.915333,0.002333
bicameral-majority,Bicameral simple majority,directionalScore,5,0.557100,0.555833,0.557611,0.001778
bicameral-majority,Bicameral simple majority,productivity,5,0.174433,0.170500,0.177111,0.006611
bicameral-majority,Bicameral simple majority,compromise,5,0.279944,0.277944,0.281222,0.003278
bicameral-majority,Bicameral simple majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
bicameral-majority,Bicameral simple majority,welfare,5,0.666489,0.665444,0.667389,0.001944
bicameral-majority,Bicameral simple majority,riskControl,5,0.899644,0.899167,0.900056,0.000889
presidential-veto,Bicameral majority + presidential veto,directionalScore,5,0.544422,0.543611,0.544889,0.001278
presidential-veto,Bicameral majority + presidential veto,productivity,5,0.113422,0.111111,0.115111,0.004000
presidential-veto,Bicameral majority + presidential veto,compromise,5,0.305478,0.301556,0.310944,0.009389
presidential-veto,Bicameral majority + presidential veto,lowSupport,5,0.000000,0.000000,0.000000,0.000000
presidential-veto,Bicameral majority + presidential veto,welfare,5,0.683811,0.677944,0.687611,0.009667
presidential-veto,Bicameral majority + presidential veto,riskControl,5,0.907367,0.905889,0.908444,0.002556
committee-regular-order,Committee-first regular order,directionalScore,5,0.557456,0.556222,0.558000,0.001778
committee-regular-order,Committee-first regular order,productivity,5,0.163767,0.160222,0.165556,0.005333
committee-regular-order,Committee-first regular order,compromise,5,0.281056,0.277889,0.283778,0.005889
committee-regular-order,Committee-first regular order,lowSupport,5,0.000000,0.000000,0.000000,0.000000
committee-regular-order,Committee-first regular order,welfare,5,0.680678,0.677889,0.682056,0.004167
committee-regular-order,Committee-first regular order,riskControl,5,0.906633,0.905389,0.907500,0.002111
parliamentary-coalition-confidence,Parliamentary coalition confidence,directionalScore,5,0.558378,0.557667,0.558722,0.001056
parliamentary-coalition-confidence,Parliamentary coalition confidence,productivity,5,0.177922,0.175333,0.179444,0.004111
parliamentary-coalition-confidence,Parliamentary coalition confidence,compromise,5,0.279656,0.277333,0.282444,0.005111
parliamentary-coalition-confidence,Parliamentary coalition confidence,lowSupport,5,0.000000,0.000000,0.000000,0.000000
parliamentary-coalition-confidence,Parliamentary coalition confidence,welfare,5,0.671333,0.669111,0.672389,0.003278
parliamentary-coalition-confidence,Parliamentary coalition confidence,riskControl,5,0.918122,0.917167,0.919500,0.002333
simple-majority-alternatives-pairwise,Majority pairwise policy tournament,directionalScore,5,0.706333,0.705389,0.707667,0.002278
simple-majority-alternatives-pairwise,Majority pairwise policy tournament,productivity,5,0.528522,0.526333,0.529667,0.003333
simple-majority-alternatives-pairwise,Majority pairwise policy tournament,compromise,5,0.497622,0.492000,0.509167,0.017167
simple-majority-alternatives-pairwise,Majority pairwise policy tournament,lowSupport,5,0.000000,0.000000,0.000000,0.000000
simple-majority-alternatives-pairwise,Majority pairwise policy tournament,welfare,5,0.641467,0.639611,0.642778,0.003167
simple-majority-alternatives-pairwise,Majority pairwise policy tournament,riskControl,5,0.935478,0.934889,0.936056,0.001167
simple-majority-alternatives-strategic,Strategic policy tournament,directionalScore,5,0.706411,0.705333,0.707333,0.002000
simple-majority-alternatives-strategic,Strategic policy tournament,productivity,5,0.528878,0.527111,0.530444,0.003333
simple-majority-alternatives-strategic,Strategic policy tournament,compromise,5,0.497344,0.492278,0.508667,0.016389
