caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2420,16.133,60.000,0.269,1.000,0.596,0.647,0.160,0.236,0.731,0.000,0.000,0.000,0.000,0.442,0.104,0.310,0.209,0.826,0.712,0.384,0.000,0.000,0.000,0.174,0.000,0.000,0.088,0.122,0.000,0.557,0.000,0.000,0.000,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2593,17.287,60.000,0.288,1.000,0.606,0.648,0.175,0.230,0.712,0.000,0.000,0.000,0.000,0.385,0.119,0.333,0.194,0.839,0.781,0.350,0.000,0.000,0.000,0.161,0.000,0.000,0.083,0.118,0.000,0.569,0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,789,5.260,60.000,0.088,1.000,0.663,0.729,0.058,0.364,0.912,0.000,0.000,0.000,0.000,0.759,0.018,0.150,0.191,0.832,0.289,0.323,0.000,0.000,0.000,0.168,0.000,0.000,0.051,0.020,0.000,0.659,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7589,50.593,60.000,0.843,1.000,0.532,0.499,0.449,0.108,0.157,0.000,0.000,0.000,0.454,0.022,0.671,0.664,0.255,0.804,0.990,0.587,0.000,0.000,0.000,0.196,0.000,0.000,0.166,0.763,0.000,0.395,0.000,0.000,0.000,0.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8082,53.880,60.000,0.898,1.000,0.519,0.494,0.466,0.135,0.102,0.000,0.000,0.000,0.451,0.018,0.504,0.516,0.258,0.817,0.996,0.615,0.000,0.000,0.000,0.183,0.828,0.161,0.132,0.950,0.150,0.407,0.000,0.000,0.000,0.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7591,50.607,60.000,0.843,1.000,0.531,0.498,0.448,0.108,0.157,0.000,0.000,0.000,0.454,0.022,0.672,0.664,0.257,0.803,0.994,0.592,0.107,0.616,2.032,0.197,0.000,0.000,0.166,0.754,0.000,0.394,0.000,0.000,0.000,0.672,0.000,0.000,0.000,0.000,0.000,3.946,0.213,0.213,0.190,0.195,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7536,50.240,60.000,0.837,1.000,0.532,0.499,0.445,0.109,0.163,0.000,0.000,0.000,0.457,0.018,0.670,0.668,0.196,0.798,0.999,0.570,0.107,0.616,1.544,0.202,0.000,0.000,0.165,0.736,0.000,0.389,0.000,0.000,0.000,0.670,0.000,0.000,0.000,0.000,0.000,3.924,0.213,0.213,0.190,0.195,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6844,45.627,57.560,0.760,0.959,0.537,0.517,0.408,0.114,0.240,0.041,0.000,0.000,0.448,0.026,0.602,0.660,0.177,0.813,0.965,0.439,0.107,0.616,1.264,0.187,0.000,0.000,0.152,0.606,0.000,0.411,0.000,0.000,0.000,0.602,0.000,0.000,0.000,0.000,0.000,3.695,0.213,0.213,0.190,0.195,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-democracy-vouchers,Default pass + democracy vouchers,9000,60.000,7427,49.513,60.000,0.825,1.000,0.535,0.505,0.441,0.111,0.175,0.000,0.000,0.000,0.453,0.011,0.659,0.666,0.235,0.831,0.996,0.533,0.116,0.615,1.674,0.169,0.000,0.000,0.164,0.738,0.000,0.400,0.000,0.000,0.000,0.659,0.000,0.000,0.000,0.000,0.000,3.608,0.214,0.213,0.190,0.195,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-public-advocate,Default pass + equal-access public advocate,9000,60.000,7512,50.080,60.000,0.835,1.000,0.542,0.517,0.452,0.112,0.165,0.000,0.000,0.000,0.430,0.018,0.667,0.665,0.230,0.806,0.999,0.564,0.116,0.615,1.662,0.194,0.000,0.000,0.164,0.747,0.000,0.419,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,3.736,0.214,0.213,0.190,0.195,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0,0
