caseKey,caseName,caseDescription,caseWeight,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,simple-majority,Unicameral simple majority,7200,60.000,1830,15.250,60.000,0.254,1.000,0.596,0.634,0.152,0.224,0.746,0.000,0.000,0.000,0.000,0.454,0.104,0.328,0.208,0.822,0.653,0.387,0.000,0.000,0.000,0.178,0.000,0.000,0.088,0.123,0.000,0.560,0.000,0.000,0.000,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.161,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,supermajority-60,Unicameral 60 percent passage,7200,60.000,599,4.992,60.000,0.083,1.000,0.665,0.722,0.055,0.354,0.917,0.000,0.000,0.000,0.000,0.767,0.018,0.155,0.196,0.821,0.269,0.324,0.000,0.000,0.000,0.179,0.000,0.000,0.052,0.021,0.000,0.665,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.060,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass,Default pass unless 2/3 block,7200,60.000,6071,50.592,60.000,0.843,1.000,0.531,0.491,0.448,0.099,0.157,0.000,0.000,0.000,0.460,0.022,0.691,0.685,0.257,0.798,1.000,0.597,0.000,0.000,0.000,0.202,0.000,0.000,0.168,0.748,0.000,0.391,0.000,0.000,0.000,0.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.414,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-constituent-public-will,Default pass + constituent public will,7200,60.000,5987,49.892,60.000,0.832,1.000,0.526,0.489,0.438,0.101,0.168,0.000,0.000,0.000,0.463,0.003,0.674,0.681,0.256,0.883,0.996,0.586,0.000,0.000,0.000,0.117,0.000,0.000,0.157,0.700,0.000,0.380,0.000,0.000,0.000,0.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.285,0.425,0.000,0.000,0.000,0.000,0.000,0.056,0.407,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-constituent-citizen-panel,Default pass + constituent public will + citizen panel,7200,60.000,2819,23.492,60.000,0.392,1.000,0.556,0.624,0.218,0.172,0.608,0.000,0.000,0.000,0.244,0.008,0.215,0.453,0.201,0.860,0.964,0.369,0.000,0.000,0.000,0.140,0.000,0.000,0.106,0.182,0.000,0.516,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.282,0.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.281,0.395,0.000,0.000,0.000,0.000,0.000,0.056,0.244,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-proposal-bonds,Default pass + proposal bonds,7200,60.000,6019,50.158,59.808,0.836,0.997,0.531,0.492,0.444,0.101,0.164,0.003,0.000,0.000,0.448,0.027,0.683,0.684,0.255,0.798,1.000,0.590,0.000,0.000,0.000,0.202,0.000,0.000,0.168,0.743,0.000,0.392,0.000,0.000,0.000,0.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.521,0.000,0.056,0.411,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-proposal-bonds-challenge,Default pass + proposal bonds + challenge,7200,60.000,5252,43.767,59.833,0.729,0.997,0.515,0.488,0.376,0.107,0.271,0.003,0.000,0.333,0.426,0.146,0.536,0.599,0.256,0.803,0.893,0.599,0.000,0.000,0.000,0.197,0.000,0.000,0.170,0.666,0.000,0.383,0.000,0.000,0.000,0.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.509,0.466,0.000,0.000,0.000,0.000,0.000,0.000,0.512,0.000,0.055,0.356,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-cross-bloc-credit-discount,Default pass + cross-bloc credit discount,7200,60.000,1465,12.208,12.225,0.203,0.204,0.599,0.703,0.122,0.259,0.797,0.796,0.000,0.000,0.152,0.490,0.065,0.250,0.145,0.800,0.792,0.236,0.000,0.000,0.000,0.200,0.000,0.000,0.044,0.054,0.000,0.633,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.204,3.425,0.000,0.000,0.144,0.143,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-affected-sponsor-gate,Default pass + affected-group sponsor gate,7200,60.000,1009,8.408,8.408,0.140,0.140,0.619,0.739,0.087,0.294,0.860,0.860,0.000,0.000,0.082,0.604,0.039,0.222,0.130,0.791,0.640,0.208,0.000,0.000,0.000,0.209,0.000,0.000,0.027,0.026,0.000,0.679,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.178,2.682,0.000,0.000,0.172,0.104,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-multiround-mediation,Default pass + multi-round mediation,7200,60.000,6930,57.750,60.000,0.963,1.000,0.529,0.444,0.509,0.192,0.037,0.000,0.000,0.000,0.393,0.016,0.404,0.381,0.262,0.820,0.989,0.699,0.000,0.000,0.000,0.180,0.727,0.280,0.118,0.921,0.238,0.424,0.000,0.000,0.000,0.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.428,0,0
