caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2097,13.980,60.000,0.233,1.000,0.597,0.591,0.139,0.211,0.767,0.000,0.000,0.000,0.000,0.497,0.093,0.316,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,671,4.473,60.000,0.075,1.000,0.670,0.667,0.050,0.329,0.925,0.000,0.000,0.000,0.000,0.775,0.016,0.160,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7527,50.180,60.000,0.836,1.000,0.529,0.463,0.442,0.087,0.164,0.000,0.000,0.000,0.465,0.032,0.696,0.701,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1617,10.780,10.820,0.180,0.180,0.586,0.612,0.105,0.217,0.820,0.580,0.240,0.000,0.212,0.579,0.060,0.251,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5167,34.447,60.000,0.574,1.000,0.520,0.475,0.298,0.110,0.426,0.000,0.000,0.500,0.401,0.287,0.391,0.559,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t3-s082,Default pass + party challenge vouchers t=3 s=.82,9000,60.000,7857,52.380,60.000,0.873,1.000,0.503,0.444,0.439,0.081,0.127,0.000,0.000,0.150,0.485,0.089,0.675,0.638,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t6-s082,Default pass + party challenge vouchers t=6 s=.82,9000,60.000,6672,44.480,60.000,0.741,1.000,0.508,0.454,0.377,0.090,0.259,0.000,0.000,0.300,0.461,0.181,0.555,0.616,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t15-s082,Default pass + party challenge vouchers t=15 s=.82,9000,60.000,3217,21.447,60.000,0.357,1.000,0.551,0.533,0.197,0.160,0.643,0.000,0.000,0.748,0.257,0.412,0.182,0.409,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t25-s082,Default pass + party challenge vouchers t=25 s=.82,9000,60.000,2316,15.440,60.000,0.257,1.000,0.581,0.579,0.149,0.201,0.743,0.000,0.000,0.887,0.100,0.483,0.101,0.314,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t10-s050,Default pass + party challenge vouchers t=10 s=.50,9000,60.000,5256,35.040,60.000,0.584,1.000,0.519,0.469,0.303,0.105,0.416,0.000,0.000,0.500,0.405,0.284,0.413,0.581,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-t10-s065,Default pass + party challenge vouchers t=10 s=.65,9000,60.000,5184,34.560,60.000,0.576,1.000,0.519,0.472,0.299,0.107,0.424,0.000,0.000,0.500,0.403,0.288,0.402,0.573,0,0
