caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2408,16.053,60.000,0.268,1.000,0.597,0.631,0.160,0.227,0.732,0.000,0.000,0.000,0.000,0.422,0.106,0.320,0.216,0.823,0.709,0.412,0,0
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2505,16.700,60.000,0.278,1.000,0.608,0.636,0.169,0.230,0.722,0.000,0.000,0.000,0.000,0.393,0.113,0.325,0.193,0.838,0.791,0.360,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,742,4.947,60.000,0.082,1.000,0.666,0.712,0.055,0.357,0.918,0.000,0.000,0.000,0.000,0.763,0.017,0.151,0.201,0.820,0.266,0.360,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7562,50.413,60.000,0.840,1.000,0.533,0.486,0.448,0.105,0.160,0.000,0.000,0.000,0.452,0.025,0.679,0.674,0.259,0.801,0.994,0.608,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-lobby-firewall,Default pass + lobby firewall,9000,60.000,7325,48.833,60.000,0.814,1.000,0.535,0.493,0.436,0.108,0.186,0.000,0.000,0.000,0.446,0.019,0.661,0.677,0.254,0.812,0.997,0.587,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-lobby-transparency,Default pass + lobby transparency,9000,60.000,7514,50.093,60.000,0.835,1.000,0.531,0.489,0.443,0.106,0.165,0.000,0.000,0.000,0.451,0.023,0.676,0.676,0.200,0.797,0.999,0.584,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-public-interest-screen,Default pass + public-interest screen,9000,60.000,6912,46.080,54.113,0.768,0.902,0.533,0.503,0.409,0.108,0.232,0.098,0.000,0.000,0.444,0.054,0.611,0.663,0.217,0.802,0.940,0.439,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-lobby-audit,Default pass + anti-capture audit,9000,60.000,6868,45.787,60.000,0.763,1.000,0.531,0.498,0.405,0.107,0.237,0.000,0.000,0.000,0.451,0.085,0.613,0.669,0.216,0.802,0.996,0.461,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6783,45.220,57.373,0.754,0.956,0.536,0.507,0.404,0.111,0.246,0.044,0.000,0.000,0.444,0.032,0.607,0.673,0.178,0.810,0.960,0.444,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1921,12.807,12.833,0.213,0.214,0.585,0.649,0.125,0.238,0.787,0.556,0.230,0.000,0.205,0.517,0.072,0.256,0.207,0.860,0.617,0.379,0,0
