caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority,Unicameral simple majority,9000,60.000,2474,16.493,60.000,0.275,1.000,0.596,0.635,0.164,0.225,0.725,0.000,0.000,0.000,0.000,0.424,0.112,0.331,0.212,0.827,0.725,0.402,0.000,0.000,0.000,0.173,0,0
baseline,Baseline,Moderately polarized three-party legislature.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2514,16.760,60.000,0.279,1.000,0.608,0.644,0.170,0.231,0.721,0.000,0.000,0.000,0.000,0.396,0.113,0.328,0.196,0.838,0.786,0.367,0.000,0.000,0.000,0.162,0,0
baseline,Baseline,Moderately polarized three-party legislature.,supermajority-60,Unicameral 60 percent passage,9000,60.000,773,5.153,60.000,0.086,1.000,0.665,0.722,0.057,0.365,0.914,0.000,0.000,0.000,0.000,0.760,0.018,0.155,0.196,0.819,0.288,0.342,0.000,0.000,0.000,0.181,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass,Default pass unless 2/3 block,9000,60.000,7585,50.567,60.000,0.843,1.000,0.533,0.495,0.450,0.109,0.157,0.000,0.000,0.000,0.442,0.025,0.679,0.669,0.258,0.803,0.997,0.597,0.000,0.000,0.000,0.197,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7629,50.860,60.000,0.848,1.000,0.531,0.495,0.450,0.108,0.152,0.000,0.000,0.000,0.455,0.021,0.681,0.667,0.262,0.805,0.994,0.605,0.101,0.645,2.187,0.195,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7549,50.327,60.000,0.839,1.000,0.532,0.496,0.446,0.109,0.161,0.000,0.000,0.000,0.453,0.025,0.676,0.671,0.199,0.798,0.999,0.585,0.101,0.645,1.650,0.202,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6878,45.853,57.540,0.764,0.959,0.538,0.515,0.411,0.115,0.236,0.041,0.000,0.000,0.441,0.026,0.609,0.659,0.179,0.813,0.960,0.444,0.101,0.645,1.351,0.187,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-lobby-transparency,Default pass + lobby transparency,9000,60.000,7564,50.427,60.000,0.840,1.000,0.532,0.496,0.448,0.110,0.160,0.000,0.000,0.000,0.450,0.024,0.676,0.668,0.200,0.799,1.000,0.579,0.000,0.000,0.000,0.201,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-public-interest-screen,Default pass + public-interest screen,9000,60.000,6861,45.740,54.387,0.762,0.906,0.535,0.513,0.408,0.114,0.238,0.094,0.000,0.000,0.441,0.063,0.602,0.656,0.217,0.805,0.943,0.434,0.000,0.000,0.000,0.195,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-lobby-audit,Default pass + anti-capture audit,9000,60.000,6835,45.567,59.980,0.759,1.000,0.533,0.509,0.405,0.111,0.241,0.000,0.000,0.000,0.450,0.080,0.604,0.662,0.217,0.804,0.993,0.453,0.000,0.000,0.000,0.196,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6875,45.833,57.593,0.764,0.960,0.537,0.515,0.410,0.115,0.236,0.040,0.000,0.000,0.446,0.033,0.607,0.660,0.179,0.814,0.960,0.443,0.000,0.000,0.000,0.186,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1977,13.180,13.287,0.220,0.221,0.586,0.659,0.129,0.243,0.780,0.534,0.244,0.000,0.205,0.505,0.073,0.253,0.204,0.861,0.647,0.372,0.000,0.000,0.000,0.139,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5256,35.040,60.000,0.584,1.000,0.530,0.519,0.310,0.138,0.416,0.000,0.000,0.500,0.367,0.243,0.372,0.519,0.247,0.815,0.874,0.561,0.000,0.000,0.000,0.185,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2241,14.940,15.060,0.249,0.251,0.582,0.680,0.145,0.260,0.751,0.749,0.000,0.000,0.213,0.472,0.077,0.243,0.161,0.827,0.846,0.267,0.000,0.000,0.000,0.173,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3932,26.213,55.813,0.437,0.930,0.565,0.604,0.247,0.173,0.563,0.069,0.001,0.000,0.245,0.184,0.217,0.398,0.197,0.815,0.907,0.375,0.000,0.000,0.000,0.185,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4277,28.513,60.000,0.475,1.000,0.555,0.615,0.264,0.154,0.525,0.000,0.000,0.000,0.357,0.103,0.271,0.460,0.177,0.826,0.975,0.300,0.000,0.000,0.000,0.174,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6542,43.613,51.393,0.727,0.857,0.535,0.508,0.389,0.114,0.273,0.143,0.000,0.000,0.441,0.123,0.566,0.644,0.247,0.807,0.904,0.546,0.000,0.000,0.000,0.193,0,0
baseline,Baseline,Moderately polarized three-party legislature.,bicameral-majority,Bicameral simple majority,9000,60.000,1531,10.207,60.000,0.170,1.000,0.624,0.671,0.106,0.281,0.830,0.000,0.000,0.000,0.000,0.590,0.052,0.238,0.204,0.825,0.513,0.379,0.000,0.000,0.000,0.175,0,0
baseline,Baseline,Moderately polarized three-party legislature.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,995,6.633,60.000,0.111,1.000,0.639,0.694,0.071,0.315,0.889,0.000,0.000,0.000,0.000,0.716,0.030,0.200,0.199,0.825,0.353,0.353,0.000,0.000,0.000,0.175,514,5
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,9000,60.000,4658,31.053,60.000,0.518,1.000,0.632,0.648,0.327,0.271,0.482,0.000,0.000,0.000,0.000,0.162,0.165,0.228,0.219,0.852,0.885,0.393,0.000,0.000,0.000,0.148,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,4646,30.973,60.000,0.516,1.000,0.648,0.655,0.335,0.278,0.484,0.000,0.000,0.000,0.000,0.140,0.169,0.234,0.206,0.867,0.908,0.361,0.000,0.000,0.000,0.133,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,9000,60.000,2578,17.187,60.000,0.286,1.000,0.684,0.701,0.196,0.352,0.714,0.000,0.000,0.000,0.000,0.407,0.066,0.158,0.215,0.853,0.592,0.367,0.000,0.000,0.000,0.147,0,0
