public_law_attribution_review_rank,effective_text_review_rank,review_rank,target_review_packet_rank,text_diff_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,normalized_title,normalized_section,codified_lineage_relationship,target_section_diff_review_status,source_reviewed_target_section_diff,law_revision_effective_text_reviewed,pre_edition,post_edition,public_law_source_url,govinfo_package_id,govinfo_text_url,govinfo_details_url,public_law_text_sha256,public_law_text_bytes,pre_olrc_url,post_olrc_url,current_olrc_url,pre_normalized_text_sha256,post_normalized_text_sha256,annual_normalized_text_hash_status,annual_normalized_text_char_delta,annual_public_law_reference_hit_delta,annual_post_public_law_context_count,annual_automated_diff_cue_status,annual_section_change_cue_status,annual_manual_review_priority,current_effective_text_review_status,current_public_law_reference_status,public_law_causal_attribution,public_law_causal_attribution_reviewed,attribution_source_basis,attribution_review_summary,source_review_notes,evidence_layers,missing_links,claim_boundary
1,1,1,15,15,117-hr-5376,117-169,2022-08-16,26 USC 4501,direct_us_code_reference,26,4501,added_target_section,reviewed_added_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section4501,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section4501,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section4501,39d6efccad7c08d922f6c4816c30ce6c68f665c3520efcda26e06c306af9836a,4a29e0768a16d496e7821b1c3da1b86ac24e9f3c48d8f329869d1eae47255fdf,pre_post_normalized_text_changed,5243,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
2,2,2,16,16,117-hr-5376,117-169,2022-08-16,26 USC 55,direct_us_code_reference,26,55,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section55,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section55,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section55,07bf11df8255551d4d4ae809eebbe4ba7d0c636f6bb0634557b0d0dc208dcf1f,80aca1df880e69d1afa67901f7f7fbd31a44a419403b2af1c6711e51f93f3a29,pre_post_normalized_text_changed,1607,8,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
3,3,3,17,17,117-hr-5376,117-169,2022-08-16,26 USC 56A,direct_us_code_reference,26,56A,added_target_section,reviewed_added_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section56A,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section56A,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section56A,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,2f31769e6e0974cee04a4cfe7c1ad983b450a834c7f1696e35791b5094f16735,pre_post_normalized_text_changed,14017,3,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
4,4,4,18,18,117-hr-5376,117-169,2022-08-16,26 USC 59,direct_us_code_reference,26,59,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section59,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section59,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section59,669e6fa9575bafc43347ae653410086c5468941908ee969317c8bfd1e0ba4643,91f5303443cce6a954ad0b747def11a8ac76cf32c241fb5bde73cbb995a62eee,pre_post_normalized_text_changed,10168,6,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
5,5,5,19,19,117-hr-5376,117-169,2022-08-16,26 USC 11 note,direct_us_code_reference,26,11,amended_existing_target_section_with_effective_date_note,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section11,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section11,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section11,5220cb6bc130c627fbc9c2177e495505408e4cff7663f00554219cbf6c333b6b,e4bb90bda0b96a4775e395741ddacd67c67c4c744eac7d9beb7d1fbe1382a302,pre_post_normalized_text_changed,593,3,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
6,6,6,20,20,117-hr-5376,117-169,2022-08-16,26 USC 38,direct_us_code_reference,26,38,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section38,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section38,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section38,8950284a1ae9ba3d905815ef59047bf9905f4826c7d24fbf3cce3dc3cc9bd0b2,3c6fd539ed8a886946d6273f405e66719c973f070da134884c8572a5727e1033,pre_post_normalized_text_changed,5883,31,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
7,7,7,21,21,117-hr-5376,117-169,2022-08-16,26 USC 4501 note,direct_us_code_reference,26,4501,added_target_section_with_effective_date_note,reviewed_added_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section4501,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section4501,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section4501,39d6efccad7c08d922f6c4816c30ce6c68f665c3520efcda26e06c306af9836a,4a29e0768a16d496e7821b1c3da1b86ac24e9f3c48d8f329869d1eae47255fdf,pre_post_normalized_text_changed,5243,2,2,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
8,8,8,22,22,117-hr-5376,117-169,2022-08-16,26 USC 860E,direct_us_code_reference,26,860E,amended_existing_target_section,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,PLAW-117publ169,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://www.govinfo.gov/app/details/PLAW-117publ169,434fc6a6ce14a952520b0ea027ca5be5837782c77d197e89efc91b6c5847fbac,1036994,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section860E,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section860E,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title26-section860E,7c86605386cb7cf5af44951bcaa4699f80214f64066abe51207f8711126f5f82,a35bc3213243338c3e0ad8d4c61dfd8c565f05568c727d968dd2a66f9244e32b,pre_post_normalized_text_changed,378,4,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
9,9,9,1,1,117-hr-1437,117-229,2022-12-16,18 USC 3551 note,direct_us_code_reference,18,3551,amended_existing_target_section_with_effective_date_note,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,PLAW-117publ229,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,https://www.govinfo.gov/app/details/PLAW-117publ229,27d31b4567540e6cdd661f8e8f264a90f8ae2669b4a2ba0edb9256bbddd8b376,24182,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3551,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title18-section3551,7110ab271c77099c3532c6b96cb8fa3ccd0f6b27c08c3162928c4b35509f20fa,910ac189f480c85da4d93c768f202cfd6376335578598952983906b641c8aaff,pre_post_normalized_text_changed,3004,5,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
10,10,10,2,2,117-hr-1437,117-229,2022-12-16,42 USC 1395ww note,direct_us_code_reference,42,1395ww,amended_existing_target_section_with_effective_date_note,reviewed_pre_post_target_section_diff,1,1,2021,2022,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,PLAW-117publ229,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,https://www.govinfo.gov/app/details/PLAW-117publ229,27d31b4567540e6cdd661f8e8f264a90f8ae2669b4a2ba0edb9256bbddd8b376,24182,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title42-section1395ww,1217b097461d3142fa62da16449b6eb0ae483d536f26416e37b49483a20ecf3f,da2ce910ea37a00c9f5a3fc622f48aa7d1306933c57fa14da80d6a981c432691,pre_post_normalized_text_changed,28043,14,3,post_only_public_law_marker_on_changed_annual_page,normalized_section_changed_with_post_only_public_law_marker,priority_1_review_post_public_law_context_and_target_section,reviewed_current_effective_text_source_with_public_law_note,current_page_mentions_public_law,reviewed_target_section_diff_attributed_to_queued_public_law,1,source_reviewed_target_section_diff; official_govinfo_public_law_text; official_olrc_annual_pre_post_text_diff; post_only_public_law_marker; official_olrc_current_effective_text_review,"Reviewed target-section diff is attributed to the queued public law because the official public-law text was scanned, annual OLRC target text changed, the post annual page introduced the queued public-law marker, and the current OLRC page retains public-law note evidence.","Attribution is limited to the reviewed target-section diff row. It is not a complete codification history, implementation outcome, direct court review, welfare assessment, or model-validation finding.",statutory_lineage_source_reviewed_target_section_diff; official_govinfo_public_law_text_scan; official_olrc_annual_us_code_text_diff; statutory_lineage_effective_text_source_review; statutory_lineage_public_law_attribution_review,complete_codified_usc_lineage_review; implementation_outcomes; direct_target_section_court_review; welfare_or_public_benefit; model_validation,"Target-section public-law attribution review only. Rows confirm that a source-reviewed target-section diff also has official GovInfo public-law source text, changed annual OLRC target text, a post-only public-law marker, and effective-text source review. This artifact does not establish complete codified lineage, exclusive current-section causation outside the reviewed target diff, implementation outcomes, direct target-section court review, welfare evidence, causal effects, or model validation."
