review_rank,target_review_packet_rank,lineage_adjudication_rank,text_diff_rank,bill_id,public_law_number,enacted_date,target_reference,target_reference_type,normalized_title,normalized_section,pre_edition,post_edition,review_status,source_reviewed_target_section_diff,codified_lineage_relationship,public_law_source_url,pre_olrc_url,post_olrc_url,pre_text_sha256,post_text_sha256,pre_normalized_text_sha256,post_normalized_text_sha256,pre_section_anchor_status,post_section_anchor_status,post_public_law_context_count,public_law_source_summary,pre_olrc_source_summary,post_olrc_source_summary,target_section_diff_summary,public_law_causal_attribution,law_revision_effective_text_reviewed,source_review_notes,evidence_layers,missing_links,claim_boundary
1,15,15,15,117-hr-5376,117-169,2022-08-16,26 USC 4501,direct_us_code_reference,26,4501,2021,2022,reviewed_added_target_section_diff,1,added_target_section,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section4501,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section4501,367ee677789f6dd68102540542e16a1e6dea5f972f3187e561ec0e94b3eb558e,3af40e54a23d0d5c1f3f820ee33c2b0e375fa54eb0e05b4360fe8469c519836a,39d6efccad7c08d922f6c4816c30ce6c68f665c3520efcda26e06c306af9836a,4a29e0768a16d496e7821b1c3da1b86ac24e9f3c48d8f329869d1eae47255fdf,section_anchor_not_found,section_anchor_found,2,GovInfo Public Law 117-169 section 10201 inserts chapter 37 and section 4501 for repurchase of corporate stock.,The 2021 OLRC page reports prior sections 4501 to 4503 as repealed.,"The 2022 OLRC page contains section 4501, Repurchase of corporate stock, with a source credit to Pub. L. 117-169 section 10201(a).",Reviewed official sources show a post-edition target section where the pre-edition page did not contain an active section 4501 target text.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed target-section diff for the bounded pilot; not counted as exclusive causation or effective-text validation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
2,16,16,16,117-hr-5376,117-169,2022-08-16,26 USC 55,direct_us_code_reference,26,55,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section55,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section55,afc2d3e4ecb5021ca7e49d0774307a7a55c7e3ae360d956d3ad127e582ac346f,755641895eddf1a48c539033dca2ce568b359d51a46c671ede63fec2d679dd59,07bf11df8255551d4d4ae809eebbe4ba7d0c636f6bb0634557b0d0dc208dcf1f,80aca1df880e69d1afa67901f7f7fbd31a44a419403b2af1c6711e51f93f3a29,section_anchor_found,section_anchor_found,3,GovInfo Public Law 117-169 section 10101 amends section 55 and related corporate alternative-minimum-tax provisions.,The 2021 OLRC section 55 text begins the general rule with taxpayers other than corporations.,"The 2022 OLRC section 55 text changes the general rule and adds corporate tax coordination language tied to applicable corporations, with Pub. L. 117-169 amendment notes.",Reviewed official sources show changed target-section text between the 2021 and 2022 OLRC editions for section 55.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-section diff for the bounded pilot; not counted as full statutory-lineage causation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
3,17,17,17,117-hr-5376,117-169,2022-08-16,26 USC 56A,direct_us_code_reference,26,56A,2021,2022,reviewed_added_target_section_diff,1,added_target_section,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section56A,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section56A,1ffdbf07d6e5c027ef6d6be9a5b254628f1c66e4e0b5845232e6c70ae7a5ed06,bee9a0e728765fd0f93399c8f73461f3afda5e3a99e7b2c7b02b580365001cd5,7d641292e606ea628de81f96717988db7562a0f46dcea58db5884c59b05272b1,2f31769e6e0974cee04a4cfe7c1ad983b450a834c7f1696e35791b5094f16735,section_anchor_not_found,section_anchor_found,3,GovInfo Public Law 117-169 section 10101 inserts new section 56A for adjusted financial statement income.,The 2021 OLRC target page returns Document not Found for section 56A.,The 2022 OLRC section 56A page exists and includes a source credit to Pub. L. 117-169 section 10101(b)(1).,Reviewed official sources show a new post-edition target section where no pre-edition section 56A page was available.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed added-section diff for the bounded pilot; not counted as complete effective-text validation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
4,18,18,18,117-hr-5376,117-169,2022-08-16,26 USC 59,direct_us_code_reference,26,59,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section59,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section59,3af1c97419cfbf2f4d8ca41a53438dc15a9c4b1924a6eb990b3accdcda349d61,ee1627f0344c2ff64511a72ee691f855f3928fd70dbfcf8864e028ef88459cea,669e6fa9575bafc43347ae653410086c5468941908ee969317c8bfd1e0ba4643,91f5303443cce6a954ad0b747def11a8ac76cf32c241fb5bde73cbb995a62eee,section_anchor_found,section_anchor_found,3,GovInfo Public Law 117-169 section 10101 amends section 59 by adding an applicable-corporation subsection and related foreign-tax-credit provisions.,The 2021 OLRC first-change window reaches the preexisting section 59 text without subsection (k).,"The 2022 OLRC first-change window includes new subsection (k), Applicable corporation, and amendment notes for Pub. L. 117-169.",Reviewed official sources show changed target-section text between annual editions for section 59.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-section diff for the bounded pilot; not counted as full causal attribution.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
5,19,19,19,117-hr-5376,117-169,2022-08-16,26 USC 11 note,direct_us_code_reference,26,11,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section_with_effective_date_note,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section11,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section11,cb9c85951ab95bea18f5c7d3ca00300cea6d72a0cf668993aa6d2594f6bdcdc7,b2f3187930871ea5abea8ed5d163c7e62b8423bd430f1d25d87f93a60ec2c45f,5220cb6bc130c627fbc9c2177e495505408e4cff7663f00554219cbf6c333b6b,e4bb90bda0b96a4775e395741ddacd67c67c4c744eac7d9beb7d1fbe1382a302,section_anchor_found,section_anchor_found,3,GovInfo Public Law 117-169 section 10101 amends section 11(d) and includes an effective-date note for corporate alternative-minimum-tax amendments.,The 2021 OLRC section 11 text says the tax imposed by subsection (a) applies only as provided by section 882 for foreign corporations.,"The 2022 OLRC section 11 text says the taxes imposed by subsection (a) and section 55 apply only as provided by section 882, with Pub. L. 117-169 amendment and effective-date notes.",Reviewed official sources show changed target-section text for section 11 and an attached effective-date note context.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-section diff for the bounded pilot; effective text and applicability are not independently reviewed.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
6,20,20,20,117-hr-5376,117-169,2022-08-16,26 USC 38,direct_us_code_reference,26,38,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section38,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section38,bc0f05f6cc070eee829e7782f472279dcd2cd4642af5fed974f802b453786e88,cbe1d0a785aa651ef0499bf1a706c0956388fa37fac769021e3cd26566952e5b,8950284a1ae9ba3d905815ef59047bf9905f4826c7d24fbf3cce3dc3cc9bd0b2,3c6fd539ed8a886946d6273f405e66719c973f070da134884c8572a5727e1033,section_anchor_found,section_anchor_found,3,"GovInfo Public Law 117-169 directly amends section 38(b) and section 38(c)(6)(E), including conforming amendments for new clean-energy credit paragraphs.",The 2021 OLRC section 38 page contains the pre-Inflation Reduction Act general business credit list without the Pub. L. 117-169 clean-energy credit paragraphs.,"The 2022 OLRC section 38 page includes Pub. L. 117-169 amendment notes for subsection (b) paragraphs (30), (34), (35), (36), (37), (38), (39), and (40), plus subsection (c)(6)(E), and the post-edition text includes new clean-energy credit entries including the advanced manufacturing production credit under section 45X(a).",Reviewed official sources show changed target-section text between annual editions for section 38.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-section diff after deeper section-level review; not counted as exclusive public-law causation or effective-text validation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
7,21,21,21,117-hr-5376,117-169,2022-08-16,26 USC 4501 note,direct_us_code_reference,26,4501,2021,2022,reviewed_added_target_section_diff,1,added_target_section_with_effective_date_note,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section4501,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section4501,367ee677789f6dd68102540542e16a1e6dea5f972f3187e561ec0e94b3eb558e,3af40e54a23d0d5c1f3f820ee33c2b0e375fa54eb0e05b4360fe8469c519836a,39d6efccad7c08d922f6c4816c30ce6c68f665c3520efcda26e06c306af9836a,4a29e0768a16d496e7821b1c3da1b86ac24e9f3c48d8f329869d1eae47255fdf,section_anchor_not_found,section_anchor_found,2,GovInfo Public Law 117-169 section 10201 creates section 4501 and includes an effective-date provision for chapter 37.,The 2021 OLRC page reports prior sections 4501 to 4503 as repealed.,"The 2022 OLRC section 4501 page includes section text, source credit to Pub. L. 117-169, and an effective-date note for section 10201(d).",Reviewed official sources show the section 4501 post-edition text and note context were added after the pre-edition repealed-section page.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed added-section/note diff for the bounded pilot; not counted as independent effective-text validation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
8,22,22,22,117-hr-5376,117-169,2022-08-16,26 USC 860E,direct_us_code_reference,26,860E,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title26-section860E,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title26-section860E,9dd365f901416291f64d7117767e630abdf4aee2476fd8cb6dad985f213a8db5,bd8953a9c35690a29545e6d4828a66f034dc9b1f64f32e3c91b94ccd02cb1640,7c86605386cb7cf5af44951bcaa4699f80214f64066abe51207f8711126f5f82,a35bc3213243338c3e0ad8d4c61dfd8c565f05568c727d968dd2a66f9244e32b,section_anchor_found,section_anchor_found,3,GovInfo Public Law 117-169 section 10101 includes a conforming amendment to section 860E(a)(4).,The 2021 OLRC section 860E text references section 55(b)(2) in subsection (a)(4)(A).,"The 2022 OLRC section 860E text references section 55(b)(1)(D) in subsection (a)(4)(A), with a Pub. L. 117-169 amendment note.",Reviewed official sources show changed target-section text between annual editions for section 860E.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-section diff for the bounded pilot; not counted as complete statutory-lineage or causation evidence.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
9,1,1,1,117-hr-1437,117-229,2022-12-16,18 USC 3551 note,direct_us_code_reference,18,3551,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section_with_effective_date_note,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title18-section3551,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title18-section3551,af7ef7358766165cb43418d2fc9e56292e41ab8e1f71e0956c244b59d9a99423,ce984639d183f200f6589a6755b3ecb03a0d7b4fe98fa400e8b10870e8d52bf4,7110ab271c77099c3532c6b96cb8fa3ccd0f6b27c08c3162928c4b35509f20fa,910ac189f480c85da4d93c768f202cfd6376335578598952983906b641c8aaff,section_anchor_found,section_anchor_found,3,GovInfo Public Law 117-229 division B title I section 103(b) extends Sentencing Reform Act parole-commission references by deeming 35-year references to include an additional 53 days.,The 2021 OLRC section 3551 note lacks a Pub. L. 117-229 marker and reflects the pre-117-229 parole-commission extension note context.,The 2022 OLRC section 3551 note contains Pub. L. 117-229 section 103(b) marker context and later effective-date context for the same note lineage.,Reviewed official sources show changed target-note text between annual editions for the section 3551 note packet.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-note diff for the bounded pilot; not counted as exclusive public-law causation or effective-text validation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
10,2,2,2,117-hr-1437,117-229,2022-12-16,42 USC 1395ww note,direct_us_code_reference,42,1395ww,2021,2022,reviewed_pre_post_target_section_diff,1,amended_existing_target_section_with_effective_date_note,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,https://uscode.house.gov/view.xhtml?edition=2021&num=0&req=granuleid%3AUSC-2021-title42-section1395ww,https://uscode.house.gov/view.xhtml?edition=2022&num=0&req=granuleid%3AUSC-2022-title42-section1395ww,38ce823d923f4ad1ebf67a2b1f8e1a2d2e2a18be0979063b0da289595dbda462,7db19afe4888415aca1f15724c7cc732e53b5d162d1aeb547763b0e88a502848,1217b097461d3142fa62da16449b6eb0ae483d536f26416e37b49483a20ecf3f,da2ce910ea37a00c9f5a3fc622f48aa7d1306933c57fa14da80d6a981c432691,section_anchor_found,section_anchor_found,3,GovInfo Public Law 117-229 division C title I sections 101 and 102 amend Social Security Act section 1886 date references and include implementation-note authority.,The 2021 OLRC section 1395ww page lacks a Pub. L. 117-229 marker in the target note context.,The 2022 OLRC section 1395ww page includes Pub. L. 117-229 section 101 and 102 amendment-note context and an implementation note under section 1395ww.,Reviewed official sources show changed target-section and note text between annual editions for the section 1395ww packet.,not_reviewed_for_exclusive_public_law_causation,0,Counted as a source-reviewed pre/post target-section and note diff for the bounded pilot; not counted as complete statutory-lineage causation.,statutory_lineage_target_section_review_packet; statutory_lineage_target_section_diff_review; statutory_lineage_source_reviewed_target_section_diff,public_law_causal_attribution; law_revision_effective_text; complete_codified_usc_lineage_review; implementation_outcomes; court_review; model_validation,"Source-reviewed official OLRC/GovInfo target-section diff disposition only. Rows record whether a bounded target-review packet has reviewed official-source evidence of added or changed target-section text. The artifact does not establish exclusive public-law causal attribution, law-revision effective text, implementation outcomes, court review, welfare, causal effects, or model validation."
